Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
Mahanagar Gas Ltd.,MGL,400.0,Gas Transmission,Gas Transmission/Marketing,Small Cap,1697.35,-0.7,2438000.0,-3.88,0.24,0.37,3002000.0,1765200.0,0.59,-0.02,LongCover,"MGL,",27.25,2024-07-03,0.1411
Biocon Ltd.,BIOCON,2500.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,361.45,1.33,49887500.0,-3.85,0.95,1.09,12812500.0,8525000.0,0.67,0.02,ShortCover,"BIOCON,",48.78,2024-07-03,0.0287
Indian Energy Exchange Ltd.,IEX,3750.0,Power,Power Generation/Distribution,Small Cap,185.29,0.13,79848750.0,3.56,0.85,0.87,44407500.0,25001250.0,0.56,-0.01,NewLong,"IEX,",31.1,2024-07-03,0.0489
Escorts Kubota Ltd.,ESCORTS,275.0,Automobile & Ancillaries,Automobiles-Tractors,Mid Cap,4117.35,-0.21,1359325.0,3.52,0.68,0.69,590150.0,297550.0,0.5,0.03,NewShort,"ESCORTS,",47.79,2024-07-03,0.0239
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,875.0,Hospitality,Travel Services,Mid Cap,1004.25,-0.23,21395500.0,3.45,0.67,0.79,11535125.0,6836375.0,0.59,-0.04,NewShort,"IRCTC,",59.85,2024-07-03,0.0507
Divi's Laboratories Ltd.,DIVISLAB,200.0,Healthcare,Pharmaceuticals & Drugs,Large Cap,4559.15,-0.27,2230600.0,3.4,1.51,1.96,914200.0,492000.0,0.54,-0.02,AggressiveNewShort,"DIVISLAB,",76.29,2024-07-03,0.0212
Kotak Mahindra Bank Ltd.,KOTAKBANK,400.0,Banking,Bank - Private,Large Cap,1810.7,2.32,38632400.0,3.37,1.2,0.78,10476000.0,9501200.0,0.91,0.13,NewLong,"KOTAKBANK,",38.42,2024-07-03,0.0189
Bata India Ltd.,BATAINDIA,375.0,Retailing,Footwear,Small Cap,1492.65,-0.18,3894000.0,3.15,0.28,0.19,2267250.0,1022625.0,0.45,0.0,NewShort,"BATAINDIA,",39.71,2024-07-03,0.0823
Bharat Electronics Ltd.,BEL,2850.0,Capital Goods,Engineering - Industrial Equipments,Large Cap,314.5,2.74,151075650.0,-3.07,1.48,1.49,63429600.0,40039650.0,0.63,0.01,AggressiveShortCover,"BEL,",52.35,2024-07-03,0.059000000000000004
Pidilite Industries Ltd.,PIDILITIND,250.0,Chemicals,Chemicals,Large Cap,3111.95,0.87,2330500.0,3.06,1.04,1.09,589500.0,284250.0,0.48,-0.03,AggressiveNewLong,"PIDILITIND,",67.1,2024-07-03,0.18719999999999998
Voltas Ltd.,VOLTAS,600.0,Consumer Durables,Air Conditioners,Mid Cap,1451.85,0.12,8292600.0,-3.04,0.95,0.97,2372400.0,1225200.0,0.52,0.01,ShortCover,"VOLTAS,",57.41,2024-07-03,0.0177
Vodafone Idea Ltd.,IDEA,40000.0,Telecom,Telecommunication - Service  Provider,Mid Cap,17.47,2.64,4021040000.0,3.03,0.64,0.55,1298760000.0,704200000.0,0.54,-0.01,NewLong,"IDEA,",25.03,2024-07-03,0.0556
Metropolis Healthcare Ltd.,METROPOLIS,400.0,Healthcare,Hospital & Healthcare Services,Small Cap,2024.2,0.54,1209600.0,3.03,0.75,0.5,570000.0,332800.0,0.58,-0.07,NewLong,"METROPOLIS,",26.49,2024-07-03,0.0466
Syngene International Ltd.,SYNGENE,1000.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,718.15,0.34,5301000.0,-3.02,0.67,0.63,2220000.0,1476000.0,0.66,0.09,ShortCover,"SYNGENE,",44.57,2024-07-03,0.0255
Chambal Fertilisers and Chemicals Ltd.,CHAMBLFERT,1900.0,Chemicals,Fertilizers,Small Cap,515.35,1.43,10647600.0,2.92,0.61,0.58,8038900.0,4003300.0,0.5,0.02,NewLong,"CHAMBLFERT,",34.77,2024-07-03,0.0394
HDFC Asset Management Company Ltd.,HDFCAMC,150.0,Finance,Finance - Asset Management,Mid Cap,4125.95,0.73,2665500.0,2.84,1.14,0.82,747750.0,422250.0,0.56,-0.02,NewLong,"HDFCAMC,",32.36,2024-07-03,0.015
The India Cements Ltd.,INDIACEM,2900.0,Construction Materials,Cement & Construction Materials,Small Cap,287.65,1.12,19441600.0,-2.81,0.07,0.12,17663900.0,12916600.0,0.73,0.01,ShortCover,"INDIACEM,",30.09,2024-07-03,0.0956
