Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
Balrampur Chini Mills Ltd.,BALRAMCHIN,1600.0,Agriculture,Sugar,Small Cap,430.2,-2.04,13862400.0,24.09,1.32,1.16,7972800.0,4600000.0,0.58,-0.33,AggressiveNewShort,"BALRAMCHIN,",34.17,2024-06-14,0.1916
ABB India Ltd.,ABB,125.0,Capital Goods,Electric Equipment,Large Cap,9020.0,6.79,1323500.0,15.43,3.35,1.5,1266250.0,856000.0,0.68,0.09,AggressiveNewLong,"ABB,",18.35,2024-06-14,0.12560000000000002
Mahanagar Gas Ltd.,MGL,400.0,Gas Transmission,Gas Transmission/Marketing,Small Cap,1465.85,0.31,1789200.0,-12.29,0.55,0.82,1837200.0,964000.0,0.52,0.0,ShortCover,"MGL,",43.66,2024-06-14,0.0604
JK Cement Ltd.,JKCEMENT,125.0,Construction Materials,Cement & Construction Materials,Mid Cap,4326.7,2.0,479875.0,-10.03,1.17,1.07,204625.0,111750.0,0.55,-0.02,AggressiveShortCover,"JKCEMENT,",48.03,2024-06-14,0.051100000000000007
Wipro Ltd.,WIPRO,1500.0,Information Technology,IT - Software,Large Cap,477.5,-1.06,64869000.0,9.4,0.44,0.54,38605500.0,22495500.0,0.58,-0.05,NewShort,"WIPRO,",41.78,2024-06-14,0.1216
GMR Airports Infrastructure Ltd.,GMRINFRA,11250.0,Aviation,Airport Management Services,Mid Cap,93.92,2.39,226417500.0,-9.17,1.6,2.12,104546250.0,68816250.0,0.66,0.04,AggressiveShortCover,"GMRINFRA,",42.86,2024-06-14,0.09970000000000001
Indus Towers Ltd.,INDUSTOWER,3400.0,Telecom,Telecommunication - Service  Provider,Mid Cap,340.75,0.37,84738200.0,8.99,1.51,1.35,32432600.0,20590400.0,0.63,0.06,AggressiveNewLong,"INDUSTOWER,",38.37,2024-06-14,0.0747
Coromandel International Ltd.,COROMANDEL,700.0,Chemicals,Fertilizers,Mid Cap,1508.8,0.7,3480400.0,8.2,0.98,1.05,1720600.0,1288700.0,0.75,-0.59,NewLong,"COROMANDEL,",39.87,2024-06-14,0.1158
Sun TV Network Ltd.,SUNTV,1500.0,Media & Entertainment,TV Broadcasting & Software Production,Mid Cap,757.55,-0.23,7723500.0,-7.67,0.34,0.31,6703500.0,3897000.0,0.58,0.01,LongCover,"SUNTV,",28.13,2024-06-14,0.12990000000000002
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,1500.0,Finance,Insurance,Large Cap,613.7,2.94,13603500.0,7.29,1.67,1.28,4384500.0,2671500.0,0.61,0.01,AggressiveNewLong,"ICICIPRULI,",44.09,2024-06-14,0.0225
