Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
Chambal Fertilisers and Chemicals Ltd.,CHAMBLFERT,1900.0,Chemicals,Fertilizers,Small Cap,517.1,-7.3,12524800.0,30.82,1.55,1.39,12872500.0,8050300.0,0.63,-0.14,AggressiveNewShort,"CHAMBLFERT,",15.44,2024-06-21,0.29960000000000003
Grasim Industries Ltd.,GRASIM,477.0,Construction Materials,Cement & Construction Materials,Large Cap,2466.15,-1.31,15922887.0,25.66,3.41,5.88,3883083.0,2000422.0,0.52,-0.04,AggressiveNewShort,"GRASIM,",71.53,2024-06-21,0.1363
The India Cements Ltd.,INDIACEM,2900.0,Construction Materials,Cement & Construction Materials,Small Cap,231.69,-0.63,24606500.0,22.14,1.99,1.74,8676800.0,5072100.0,0.58,-0.16,AggressiveNewShort,"INDIACEM,",35.92,2024-06-21,0.4484
Granules India Ltd.,GRANULES,2000.0,Healthcare,Pharmaceuticals & Drugs,Small Cap,490.65,3.89,11936000.0,20.49,9.43,4.36,9754000.0,5906000.0,0.61,-0.08,AggressiveNewLong,"GRANULES,",18.8,2024-06-21,0.2594
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,GNFC,1300.0,Chemicals,Fertilizers,Small Cap,715.85,-6.49,9256000.0,-17.55,0.95,1.39,6630000.0,4650100.0,0.7,0.1,LongCover,"GNFC,",28.37,2024-06-21,0.3404
Birlasoft Ltd.,BSOFT,1000.0,Information Technology,IT - Software,Small Cap,681.35,-0.96,15058000.0,-14.79,1.46,1.75,7006000.0,3670000.0,0.52,0.05,AggressiveLongCover,"BSOFT,",41.24,2024-06-21,0.36700000000000005
Coromandel International Ltd.,COROMANDEL,700.0,Chemicals,Fertilizers,Mid Cap,1549.9,-5.71,6709500.0,11.51,1.08,1.84,3588900.0,1944600.0,0.54,-0.04,AggressiveNewShort,"COROMANDEL,",44.52,2024-06-21,0.3832
Steel Authority Of India Ltd.,SAIL,4000.0,Iron & Steel,Steel & Iron Products,Mid Cap,155.44,0.92,177232000.0,10.58,3.07,2.74,57564000.0,31268000.0,0.54,-0.17,AggressiveNewLong,"SAIL,",35.29,2024-06-21,0.43420000000000003
Tata Chemicals Ltd.,TATACHEM,550.0,Chemicals,Chemicals,Mid Cap,1126.3,-2.4,11068200.0,9.79,0.93,0.96,8532150.0,5617150.0,0.66,-0.06,NewShort,"TATACHEM,",37.34,2024-06-21,0.32
Aditya Birla Fashion and Retail Ltd.,ABFRL,2600.0,Retailing,Retailing,Small Cap,314.9,-0.68,41158000.0,9.64,2.23,2.56,20748000.0,10631400.0,0.51,-0.02,AggressiveNewShort,"ABFRL,",46.17,2024-06-21,0.23809999999999998
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,875.0,Hospitality,Travel Services,Mid Cap,1012.3,-0.32,20168750.0,9.13,2.77,2.78,22253875.0,9641625.0,0.43,-0.01,AggressiveNewShort,"IRCTC,",37.56,2024-06-21,0.2167
L&T Technology Services Ltd.,LTTS,100.0,Information Technology,IT - Software,Mid Cap,4888.65,0.29,1678900.0,9.01,3.26,2.11,1083600.0,532300.0,0.49,-0.13,AggressiveNewLong,"LTTS,",31.23,2024-06-21,0.2783
Vodafone Idea Ltd.,IDEA,40000.0,Telecom,Telecommunication - Service  Provider,Mid Cap,17.14,3.69,4187160000.0,8.76,1.77,2.83,1255760000.0,906240000.0,0.72,0.01,AggressiveNewLong,"IDEA,",46.32,2024-06-21,0.39759999999999995
Bharti Airtel Ltd.,BHARTIARTL,475.0,Telecom,Telecommunication - Service  Provider,Large Cap,1416.05,2.53,46154800.0,8.4,5.78,5.38,23389475.0,9182700.0,0.39,0.05,AggressiveNewLong,"BHARTIARTL,",65.98,2024-06-21,0.1591
Navin Fluorine International Ltd.,NAVINFLUOR,150.0,Chemicals,Chemicals,Small Cap,3690.85,-2.11,1584550.0,8.02,1.15,1.7,804175.0,469900.0,0.58,0.03,AggressiveNewShort,"NAVINFLUOR,",44.31,2024-06-21,0.3125
ICICI Bank Ltd.,ICICIBANK,700.0,Banking,Bank - Private,Large Cap,1158.65,0.16,83632500.0,7.96,3.77,4.7,30367400.0,20924400.0,0.69,-0.01,AggressiveNewLong,"ICICIBANK,",65.47,2024-06-21,0.1931
Hindalco Industries Ltd.,HINDALCO,1400.0,Non - Ferrous Metals,Metal - Non Ferrous,Large Cap,684.5,1.18,40607000.0,-7.77,1.8,1.91,26047000.0,15848000.0,0.61,0.0,AggressiveShortCover,"HINDALCO,",56.4,2024-06-21,0.136
Coforge Ltd.,COFORGE,150.0,Information Technology,IT - Software,Mid Cap,5383.4,1.27,2505150.0,7.27,2.26,1.88,2540700.0,1232400.0,0.49,0.03,AggressiveNewLong,"COFORGE,",38.38,2024-06-21,0.2206
Dalmia Bharat Ltd.,DALBHARAT,250.0,Construction Materials,Cement & Construction Materials,Mid Cap,1823.2,-2.1,3686425.0,6.35,2.13,2.16,1060575.0,762025.0,0.72,0.13,AggressiveNewShort,"DALBHARAT,",58.4,2024-06-21,0.20190000000000002
Aditya Birla Capital Ltd.,ABCAPITAL,5400.0,Finance,Finance - NBFC,Mid Cap,241.3,-0.71,74104200.0,-6.28,0.72,0.77,42838200.0,25909200.0,0.6,0.03,LongCover,"ABCAPITAL,",31.54,2024-06-21,0.24719999999999998
Jindal Steel & Power Ltd.,JINDALSTEL,625.0,Iron & Steel,Steel/Sponge Iron/Pig Iron,Large Cap,1077.25,1.97,12528125.0,6.13,1.69,0.95,8141250.0,5266875.0,0.65,0.07,NewLong,"JINDALSTEL,",28.24,2024-06-21,0.3095
