Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
Metropolis Healthcare Ltd.,METROPOLIS,400.0,Healthcare,Hospital & Healthcare Services,Small Cap,1985.15,5.07,1183200.0,19.03,2.72,3.85,427200.0,190000.0,0.44,-0.29,AggressiveNewLong,"METROPOLIS,",52.33,2024-06-05,0.0321
Bharat Petroleum Corporation Ltd.,BPCL,900.0,Crude Oil,Refineries,Large Cap,581.1,0.16,35001900.0,18.04,2.0,2.13,21590100.0,11052000.0,0.51,-0.03,AggressiveNewLong,"BPCL,",46.31,2024-06-05,0.0298
REC Ltd.,RECLTD,2000.0,Finance,Finance Term Lending,Large Cap,459.5,1.61,61984000.0,17.11,2.04,2.0,52002000.0,23692000.0,0.46,-0.11,AggressiveNewLong,"RECLTD,",34.24,2024-06-05,0.0675
Navin Fluorine International Ltd.,NAVINFLUOR,150.0,Chemicals,Chemicals,Small Cap,3300.6,8.27,1361850.0,-15.97,0.92,0.72,389925.0,291625.0,0.75,0.12,ShortCover,"NAVINFLUOR,",30.49,2024-06-05,0.027000000000000003
Hindalco Industries Ltd.,HINDALCO,1400.0,Non - Ferrous Metals,Metal - Non Ferrous,Large Cap,695.25,7.12,42429800.0,-14.77,1.66,2.11,16766400.0,12857600.0,0.77,0.19,AggressiveShortCover,"HINDALCO,",59.68,2024-06-05,0.0146
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,1800.0,Consumer Durables,Consumer Durables - Domestic Appliances,Small Cap,402.25,6.75,14580000.0,12.36,2.41,3.23,2500200.0,2125800.0,0.85,0.0,AggressiveNewLong,"CROMPTON,",49.75,2024-06-05,0.0222
Indiamart Intermesh Ltd.,INDIAMART,300.0,Information Technology,e-Commerce,Small Cap,2489.5,5.01,1204500.0,-12.22,1.35,1.55,619200.0,336300.0,0.54,0.02,AggressiveShortCover,"INDIAMART,",64.16,2024-06-05,0.0767
TVS Motor Company Ltd.,TVSMOTOR,350.0,Automobile & Ancillaries,Automobile Two & Three Wheelers,Large Cap,2351.8,6.35,7001750.0,12.02,1.46,1.28,1223950.0,865900.0,0.71,0.01,AggressiveNewLong,"TVSMOTOR,",47.52,2024-06-05,0.011699999999999999
Hindustan Aeronautics Ltd.,HAL,300.0,Other,Defence,Large Cap,4364.9,0.73,12179700.0,11.97,2.22,2.19,9435900.0,4958100.0,0.53,-0.1,AggressiveNewLong,"HAL,",34.2,2024-06-05,0.0708
City Union Bank Ltd.,CUB,5000.0,Banking,Bank - Private,Small Cap,144.45,6.57,23080000.0,-11.91,1.37,1.42,10960000.0,7190000.0,0.66,-0.08,AggressiveShortCover,"CUB,",48.13,2024-06-05,0.0704
United Spirits Ltd.,MCDOWELL-N,700.0,Alcohol,Breweries & Distilleries,Large Cap,1298.5,7.85,7968100.0,11.82,1.61,1.08,1640100.0,1259300.0,0.77,0.18,AggressiveNewLong,"MCDOWELL-N,",38.31,2024-06-05,0.0
State Bank Of India,SBIN,750.0,Banking,Bank - Public,Large Cap,789.75,1.88,98649750.0,11.51,1.54,1.41,79866000.0,37253250.0,0.47,-0.05,AggressiveNewLong,"SBIN,",39.36,2024-06-05,0.0576
United Breweries Ltd.,UBL,400.0,Alcohol,Breweries & Distilleries,Mid Cap,2016.65,4.72,1652800.0,-11.39,2.62,1.9,494800.0,403600.0,0.82,-0.06,AggressiveShortCover,"UBL,",31.46,2024-06-05,0.0143
Bharat Forge Ltd.,BHARATFORG,500.0,Automobile & Ancillaries,Forgings,Mid Cap,1501.4,3.81,6600000.0,11.22,1.51,1.43,1683500.0,1589000.0,0.94,-0.09,AggressiveNewLong,"BHARATFORG,",48.69,2024-06-05,0.0171
