Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
Vedanta Ltd.,VEDL,2300.0,Non - Ferrous Metals,Metal - Non Ferrous,Large Cap,442.1,-2.63,130879200.0,60.85,11.79,15.85,50048000.0,35208400.0,0.7,0.06,AggressiveNewShort,"VEDL,",49.83,2024-06-26,0.8904000000000001
The India Cements Ltd.,INDIACEM,2900.0,Construction Materials,Cement & Construction Materials,Small Cap,262.62,14.49,37468000.0,39.8,10.91,3.72,22509800.0,14401400.0,0.64,0.1,AggressiveNewLong,"INDIACEM,",13.06,2024-06-26,0.8745999999999999
Zee Entertainment Enterprises Ltd.,ZEEL,3000.0,Media & Entertainment,TV Broadcasting & Software Production,Mid Cap,155.61,4.63,82104000.0,-20.85,3.6,4.4,10257000.0,6894000.0,0.67,0.01,AggressiveShortCover,"ZEEL,",58.24,2024-06-26,0.0
Petronet LNG Ltd.,PETRONET,3000.0,Industrials Gases & Fuels,Industrial  Gases & Fuels,Mid Cap,314.75,-1.08,39465000.0,-20.78,0.5,0.55,22200000.0,14169000.0,0.64,0.13,LongCover,"PETRONET,",52.51,2024-06-26,0.821
Metropolis Healthcare Ltd.,METROPOLIS,400.0,Healthcare,Hospital & Healthcare Services,Small Cap,1943.35,0.4,1938800.0,-19.1,0.46,0.46,797200.0,396400.0,0.5,0.1,ShortCover,"METROPOLIS,",29.48,2024-06-26,0.4805
Granules India Ltd.,GRANULES,2000.0,Healthcare,Pharmaceuticals & Drugs,Small Cap,502.2,2.95,10154000.0,14.4,1.55,1.92,8102000.0,4892000.0,0.6,-0.09,AggressiveNewLong,"GRANULES,",31.89,2024-06-26,0.777
Chambal Fertilisers and Chemicals Ltd.,CHAMBLFERT,1900.0,Chemicals,Fertilizers,Small Cap,520.55,2.73,8479700.0,12.99,0.27,0.29,10507000.0,7020500.0,0.67,0.02,NewLong,"CHAMBLFERT,",19.66,2024-06-26,0.6563
Indraprastha Gas Ltd.,IGL,1375.0,Gas Transmission,Gas Transmission/Marketing,Mid Cap,474.8,0.18,18130750.0,-12.13,0.75,0.84,9256500.0,6506500.0,0.7,0.08,ShortCover,"IGL,",50.85,2024-06-26,0.7099
Indus Towers Ltd.,INDUSTOWER,3400.0,Telecom,Telecommunication - Service  Provider,Mid Cap,356.1,3.46,148257000.0,-10.72,0.22,0.21,34975800.0,32510800.0,0.93,0.15,ShortCover,"INDUSTOWER,",58.46,2024-06-26,0.6687000000000001
Berger Paints India Ltd.,BERGEPAINT,1320.0,Chemicals,Paints,Large Cap,495.8,-0.85,25593480.0,-10.52,0.57,0.68,5730120.0,3780480.0,0.66,0.02,LongCover,"BERGEPAINT,",62.84,2024-06-26,0.7175
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,GNFC,1300.0,Chemicals,Fertilizers,Small Cap,694.35,-0.04,7027800.0,-9.6,0.23,0.28,4352400.0,3950700.0,0.91,0.06,LongCover,"GNFC,",24.49,2024-06-26,0.4077
Ipca Laboratories Ltd.,IPCALAB,650.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,1107.3,0.5,3447600.0,9.5,0.92,0.64,1890850.0,930150.0,0.49,0.03,NewLong,"IPCALAB,",38.97,2024-06-26,0.8059999999999999
Piramal Enterprises Ltd.,PEL,750.0,Finance,Finance - NBFC,Mid Cap,907.35,3.06,13758750.0,9.34,3.85,3.15,4641750.0,3376500.0,0.73,-0.11,AggressiveNewLong,"PEL,",-,2024-06-26,0.8714
Bharti Airtel Ltd.,BHARTIARTL,475.0,Telecom,Telecommunication - Service  Provider,Large Cap,1459.5,3.15,51658625.0,8.41,0.65,0.54,24415000.0,13917025.0,0.57,0.15,NewLong,"BHARTIARTL,",55.47,2024-06-26,0.7692
Astral Ltd.,ASTRAL,367.0,Plastic Products,Plastic Products,Mid Cap,2406.0,0.86,3451635.0,7.74,1.16,1.34,1802704.0,954200.0,0.53,-0.01,AggressiveNewLong,"ASTRAL,",38.13,2024-06-26,0.7508
JSW Steel Ltd.,JSWSTEEL,675.0,Iron & Steel,Steel & Iron Products,Large Cap,919.2,-1.15,17481150.0,7.73,0.52,0.76,7098300.0,5236650.0,0.74,0.04,NewShort,"JSWSTEEL,",56.81,2024-06-26,0.833
PVR Inox Ltd.,PVRINOX,407.0,Media & Entertainment,"Film Production, Distribution & Entertainment",Small Cap,1451.7,1.65,4762307.0,-7.71,1.05,1.05,2910457.0,1703295.0,0.59,0.08,AggressiveShortCover,"PVRINOX,",35.55,2024-06-26,0.8298000000000001
Lupin Ltd.,LUPIN,425.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,1583.65,1.59,8172325.0,-7.56,0.86,0.97,4085950.0,2369375.0,0.58,0.09,ShortCover,"LUPIN,",58.0,2024-06-26,0.5761
LIC Housing Finance Ltd.,LICHSGFIN,1000.0,Finance,Finance - Housing,Mid Cap,778.8,1.16,33982000.0,7.3,1.68,1.37,9857000.0,9572000.0,0.97,-0.08,AggressiveNewLong,"LICHSGFIN,",37.37,2024-06-26,0.8188
Ultratech Cement Ltd.,ULTRACEMCO,100.0,Construction Materials,Cement & Construction Materials,Large Cap,11143.1,2.74,2158000.0,7.17,1.57,1.02,1698700.0,898000.0,0.53,0.05,AggressiveNewLong,"ULTRACEMCO,",37.91,2024-06-26,0.7867000000000001
ICICI Lombard General Insurance Company Ltd.,ICICIGI,500.0,Finance,Insurance,Large Cap,1786.9,0.37,4451500.0,7.01,0.63,0.53,1480000.0,1105000.0,0.75,-0.03,NewLong,"ICICIGI,",57.46,2024-06-26,0.8240000000000001
Bosch Ltd.,BOSCHLTD,25.0,Automobile & Ancillaries,Auto Ancillary,Mid Cap,34149.4,0.98,315925.0,7.0,0.83,0.72,94225.0,70975.0,0.75,0.11,NewLong,"BOSCHLTD,",30.47,2024-06-26,0.8603000000000001
