Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
Balrampur Chini Mills Ltd.,BALRAMCHIN,1600.0,Agriculture,Sugar,Small Cap,400.4,3.64,14852800.0,38.02,2.67,2.68,7233600.0,4606400.0,0.64,-0.17,AggressiveNewLong,"BALRAMCHIN,",38.99,2024-06-07,0.11
L&T Finance Ltd.,LTF,4462.0,Finance,Finance - NBFC,Mid Cap,168.45,5.91,55364496.0,17.39,2.0,1.67,24366982.0,10405384.0,0.43,-0.08,AggressiveNewLong,"LTF,",48.73,2024-06-07,0.044500000000000005
Mphasis Ltd.,MPHASIS,275.0,Information Technology,IT - Software,Mid Cap,2471.95,1.46,2865775.0,15.42,2.24,1.35,1112650.0,707025.0,0.64,0.15,AggressiveNewLong,"MPHASIS,",30.81,2024-06-07,0.0416
PI Industries Ltd.,PIIND,250.0,Chemicals,Pesticides & Agrochemicals,Mid Cap,3642.6,-0.25,1319750.0,-10.48,0.47,0.61,281250.0,247750.0,0.88,0.05,LongCover,"PIIND,",73.77,2024-06-07,0.026000000000000002
Metropolis Healthcare Ltd.,METROPOLIS,400.0,Healthcare,Hospital & Healthcare Services,Small Cap,2002.2,-1.3,1637600.0,10.14,1.78,2.29,934800.0,347600.0,0.37,-0.08,AggressiveNewShort,"METROPOLIS,",55.82,2024-06-07,0.0576
Aditya Birla Fashion and Retail Ltd.,ABFRL,2600.0,Retailing,Retailing,Small Cap,324.2,0.62,34317400.0,9.15,0.92,1.16,12389000.0,10322000.0,0.83,0.01,NewLong,"ABFRL,",38.94,2024-06-07,0.0812
Infosys Ltd.,INFY,400.0,Information Technology,IT - Software,Large Cap,1533.6,4.17,44927600.0,-8.32,1.44,1.49,18884800.0,12439600.0,0.66,0.2,AggressiveShortCover,"INFY,",64.53,2024-06-07,0.0296
Power Grid Corporation Of India Ltd.,POWERGRID,3600.0,Power,Power Generation/Distribution,Large Cap,309.35,2.96,69570000.0,-8.12,0.77,0.8,45874800.0,28036800.0,0.61,0.07,ShortCover,"POWERGRID,",54.24,2024-06-07,0.037599999999999995
Wipro Ltd.,WIPRO,1500.0,Information Technology,IT - Software,Large Cap,484.55,5.11,54078000.0,-7.82,4.79,3.33,26008500.0,20754000.0,0.8,0.14,AggressiveShortCover,"WIPRO,",31.08,2024-06-07,0.0708
Tata Chemicals Ltd.,TATACHEM,550.0,Chemicals,Chemicals,Mid Cap,1056.15,-0.68,9263650.0,7.79,1.95,1.13,6605500.0,3945700.0,0.6,0.04,AggressiveNewShort,"TATACHEM,",22.14,2024-06-07,0.0708
Indus Towers Ltd.,INDUSTOWER,3400.0,Telecom,Telecommunication - Service  Provider,Mid Cap,347.15,2.3,71236800.0,7.59,0.29,0.23,19536400.0,12216200.0,0.63,0.02,NewLong,"INDUSTOWER,",48.06,2024-06-07,0.0194
Vodafone Idea Ltd.,IDEA,40000.0,Telecom,Telecommunication - Service  Provider,Mid Cap,15.85,5.67,3555120000.0,7.49,0.72,0.71,1034520000.0,593160000.0,0.57,0.03,NewLong,"IDEA,",33.82,2024-06-07,0.146
Steel Authority Of India Ltd.,SAIL,4000.0,Iron & Steel,Steel & Iron Products,Mid Cap,152.75,3.98,185532000.0,7.25,0.71,0.59,66564000.0,38188000.0,0.57,0.01,NewLong,"SAIL,",25.0,2024-06-07,0.0674
Marico Ltd.,MARICO,1200.0,Fast Moving Consumer Goods,Consumer Food,Large Cap,653.0,2.38,12870000.0,7.17,0.4,0.38,5211600.0,3590400.0,0.69,-0.05,NewLong,"MARICO,",41.42,2024-06-07,0.0274
Balkrishna Industries Ltd.,BALKRISIND,300.0,Automobile & Ancillaries,Tyres & Allied,Mid Cap,3201.9,3.0,1931700.0,7.01,0.85,0.41,1161600.0,670500.0,0.58,-0.05,NewLong,"BALKRISIND,",29.01,2024-06-07,0.0172
Titan Company Ltd.,TITAN,175.0,Diamond & Jewellery,Diamond  &  Jewellery,Large Cap,3444.05,3.68,8183700.0,-6.83,1.04,0.93,1841700.0,1548750.0,0.84,0.16,ShortCover,"TITAN,",48.54,2024-06-07,0.0292
Reliance Industries Ltd.,RELIANCE,250.0,Crude Oil,Refineries,Large Cap,2939.9,2.68,39848250.0,-6.82,0.74,0.67,22410250.0,10481500.0,0.47,0.05,ShortCover,"RELIANCE,",49.17,2024-06-07,0.033
Can Fin Homes Ltd.,CANFINHOME,975.0,Finance,Finance - Housing,Small Cap,774.3,1.35,3711825.0,6.73,1.09,1.03,1892475.0,1288950.0,0.68,0.03,AggressiveNewLong,"CANFINHOME,",43.66,2024-06-07,0.0696
Pidilite Industries Ltd.,PIDILITIND,250.0,Chemicals,Chemicals,Large Cap,3123.7,1.12,1934250.0,6.73,1.04,1.25,510000.0,324000.0,0.64,-0.07,AggressiveNewLong,"PIDILITIND,",74.18,2024-06-07,0.0229
JSW Steel Ltd.,JSWSTEEL,675.0,Iron & Steel,Steel & Iron Products,Large Cap,912.15,2.71,14606325.0,-6.67,1.07,1.08,4089150.0,3631500.0,0.89,0.05,AggressiveShortCover,"JSWSTEEL,",45.41,2024-06-07,0.0148
Container Corporation Of India Ltd.,CONCOR,1000.0,Logistics,Logistics,Mid Cap,1054.8,0.19,10088000.0,6.66,0.25,0.22,6368000.0,3897000.0,0.61,0.0,NewLong,"CONCOR,",39.47,2024-06-07,0.0633
Dalmia Bharat Ltd.,DALBHARAT,250.0,Construction Materials,Cement & Construction Materials,Mid Cap,1809.95,2.48,2922450.0,6.1,0.92,0.97,1257900.0,733750.0,0.58,0.01,NewLong,"DALBHARAT,",57.88,2024-06-07,0.027999999999999997
ICICI Bank Ltd.,ICICIBANK,700.0,Banking,Bank - Private,Large Cap,1121.7,1.02,79142700.0,-6.09,0.55,0.7,26196100.0,12557300.0,0.48,0.07,ShortCover,"ICICIBANK,",49.79,2024-06-07,0.0226
NTPC Ltd.,NTPC,1500.0,Power,Power Generation/Distribution,Large Cap,360.6,3.1,94630500.0,-6.03,0.51,0.55,79356000.0,16794000.0,0.21,0.02,ShortCover,"NTPC,",57.07,2024-06-07,0.027999999999999997
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,GNFC,1300.0,Chemicals,Fertilizers,Small Cap,646.35,1.38,7125300.0,5.87,0.73,0.88,3671200.0,2434900.0,0.66,-0.11,NewLong,"GNFC,",56.08,2024-06-07,0.0381
Cipla Ltd.,CIPLA,650.0,Healthcare,Pharmaceuticals & Drugs,Large Cap,1497.25,1.37,11617450.0,5.42,0.79,0.73,5921500.0,3146000.0,0.53,0.04,NewLong,"CIPLA,",50.38,2024-06-07,0.015700000000000002
SBI Cards And Payment Services Ltd.,SBICARD,800.0,Finance,Finance - NBFC,Large Cap,715.55,1.68,17595200.0,-5.41,1.09,1.07,6499200.0,4686400.0,0.72,-0.12,AggressiveShortCover,"SBICARD,",45.96,2024-06-07,0.1057
Maruti Suzuki India Ltd.,MARUTI,50.0,Automobile & Ancillaries,Automobiles - Passenger Cars,Large Cap,12810.9,1.08,2206800.0,5.21,0.85,0.83,1756200.0,654850.0,0.37,0.08,NewLong,"MARUTI,",50.8,2024-06-07,0.0152
PVR Inox Ltd.,PVRINOX,407.0,Media & Entertainment,"Film Production, Distribution & Entertainment",Small Cap,1338.35,0.06,4525433.0,5.21,0.84,0.93,2150995.0,1045583.0,0.49,-0.03,NewLong,"PVRINOX,",45.06,2024-06-07,0.071
The Ramco Cements Ltd.,RAMCOCEM,850.0,Construction Materials,Cement & Construction Materials,Mid Cap,831.8,5.73,8352950.0,5.2,2.64,1.72,2682600.0,1768850.0,0.66,0.16,AggressiveNewLong,"RAMCOCEM,",33.85,2024-06-07,0.0466
Jindal Steel & Power Ltd.,JINDALSTEL,625.0,Iron & Steel,Steel/Sponge Iron/Pig Iron,Large Cap,1026.95,-0.25,10765000.0,5.14,0.69,0.76,6437500.0,3601875.0,0.56,-0.02,NewShort,"JINDALSTEL,",55.89,2024-06-07,0.0207
ITC Ltd.,ITC,1600.0,Fast Moving Consumer Goods,Cigarettes/Tobacco,Large Cap,439.15,0.86,101980800.0,-5.1,0.96,0.91,65288000.0,27078400.0,0.41,0.02,ShortCover,"ITC,",52.87,2024-06-07,0.038
