Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
Mphasis Ltd.,MPHASIS,275.0,Information Technology,IT - Software,Mid Cap,2394.6,-3.13,4786100.0,67.01,43.33,84.67,2545125.0,1808675.0,0.71,0.07,AggressiveNewShort,"MPHASIS,",84.91,2024-06-10,0.0843
The Ramco Cements Ltd.,RAMCOCEM,850.0,Construction Materials,Cement & Construction Materials,Mid Cap,876.75,5.4,11373000.0,36.16,2.6,2.23,3805450.0,2554250.0,0.67,0.01,AggressiveNewLong,"RAMCOCEM,",34.29,2024-06-10,0.0407
The India Cements Ltd.,INDIACEM,2900.0,Construction Materials,Cement & Construction Materials,Small Cap,218.15,1.8,30113600.0,22.51,1.74,1.21,11510100.0,6446700.0,0.56,-0.22,AggressiveNewLong,"INDIACEM,",23.2,2024-06-10,0.0898
Coforge Ltd.,COFORGE,150.0,Information Technology,IT - Software,Mid Cap,5220.15,-3.88,2227950.0,19.76,1.48,1.32,1767000.0,871050.0,0.49,-0.1,AggressiveNewShort,"COFORGE,",38.0,2024-06-10,0.0761
PI Industries Ltd.,PIIND,250.0,Chemicals,Pesticides & Agrochemicals,Mid Cap,3640.5,-0.06,1537000.0,16.46,1.62,0.69,470500.0,357000.0,0.76,-0.12,NewShort,"PIIND,",24.54,2024-06-10,0.0434
Coromandel International Ltd.,COROMANDEL,700.0,Chemicals,Fertilizers,Mid Cap,1439.5,3.4,2858100.0,13.89,1.15,0.86,1183000.0,1016400.0,0.86,0.29,NewLong,"COROMANDEL,",33.44,2024-06-10,0.053399999999999996
United Breweries Ltd.,UBL,400.0,Alcohol,Breweries & Distilleries,Mid Cap,2146.3,3.63,1891200.0,13.27,0.71,0.44,700000.0,587600.0,0.84,0.03,NewLong,"UBL,",21.78,2024-06-10,0.028300000000000002
Mahanagar Gas Ltd.,MGL,400.0,Gas Transmission,Gas Transmission/Marketing,Small Cap,1412.15,2.25,2240800.0,13.08,2.54,1.21,2758000.0,992800.0,0.36,-0.2,AggressiveNewLong,"MGL,",20.55,2024-06-10,0.0466
Aarti Industries Ltd.,AARTIIND,1000.0,Chemicals,Chemicals,Small Cap,664.05,4.65,11586000.0,12.01,2.14,1.51,6014000.0,3244000.0,0.54,-0.06,AggressiveNewLong,"AARTIIND,",29.27,2024-06-10,0.044000000000000004
Ultratech Cement Ltd.,ULTRACEMCO,100.0,Construction Materials,Cement & Construction Materials,Large Cap,10826.25,3.47,2062400.0,10.6,1.14,0.92,1231500.0,874800.0,0.71,0.15,NewLong,"ULTRACEMCO,",44.19,2024-06-10,0.0359
Sun TV Network Ltd.,SUNTV,1500.0,Media & Entertainment,TV Broadcasting & Software Production,Mid Cap,725.35,0.69,5203500.0,9.95,0.36,0.43,3868500.0,2559000.0,0.66,0.11,NewLong,"SUNTV,",39.17,2024-06-10,0.0775
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,1800.0,Consumer Durables,Consumer Durables - Domestic Appliances,Small Cap,411.8,3.64,17091000.0,9.45,1.89,1.28,6417000.0,3457800.0,0.54,0.08,AggressiveNewLong,"CROMPTON,",34.89,2024-06-10,0.0354
Tata Communications Ltd.,TATACOMM,500.0,Telecom,Telecommunication - Service  Provider,Mid Cap,1859.0,2.55,6369500.0,7.47,1.7,1.34,1685500.0,948500.0,0.56,-0.12,AggressiveNewLong,"TATACOMM,",40.6,2024-06-10,0.0429
GAIL (India) Ltd.,GAIL,4575.0,Industrials Gases & Fuels,Industrial  Gases & Fuels,Large Cap,208.18,-2.13,141765525.0,7.08,0.51,0.52,77642325.0,38114325.0,0.49,-0.05,NewShort,"GAIL,",40.14,2024-06-10,0.0701
Syngene International Ltd.,SYNGENE,1000.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,710.3,2.17,4939000.0,-7.0,3.31,2.94,2083000.0,1364000.0,0.65,-0.01,AggressiveShortCover,"SYNGENE,",48.32,2024-06-10,0.0425
