Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
Lupin Ltd.,LUPIN,425.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,1759.3,7.89,10726150.0,41.71,4.94,3.0,5603625.0,4311200.0,0.77,0.2,AggressiveNewLong,"LUPIN,",34.01,2024-07-04,0.07139999999999999
Metropolis Healthcare Ltd.,METROPOLIS,400.0,Healthcare,Hospital & Healthcare Services,Small Cap,2086.45,3.08,1400800.0,15.81,1.43,1.08,1117600.0,421600.0,0.38,-0.2,AggressiveNewLong,"METROPOLIS,",28.99,2024-07-04,0.0437
Atul Ltd.,ATUL,100.0,Chemicals,Chemicals,Small Cap,6744.65,2.23,688400.0,14.41,1.2,0.79,145800.0,44100.0,0.3,-0.07,NewLong,"ATUL,",34.12,2024-07-04,0.0463
Piramal Enterprises Ltd.,PEL,750.0,Finance,Finance - NBFC,Mid Cap,946.05,0.26,17241750.0,12.27,1.02,1.35,4695000.0,2676750.0,0.57,0.02,AggressiveNewLong,"PEL,",51.32,2024-07-04,0.0452
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,GNFC,1300.0,Chemicals,Fertilizers,Small Cap,727.95,0.62,7446400.0,11.57,0.67,0.52,5176600.0,2824900.0,0.55,0.05,NewLong,"GNFC,",30.05,2024-07-04,0.0426
The Ramco Cements Ltd.,RAMCOCEM,850.0,Construction Materials,Cement & Construction Materials,Mid Cap,819.3,-2.48,8466850.0,11.42,0.67,0.8,5519050.0,3915100.0,0.71,0.07,NewShort,"RAMCOCEM,",50.44,2024-07-04,0.047599999999999996
Granules India Ltd.,GRANULES,2000.0,Healthcare,Pharmaceuticals & Drugs,Small Cap,514.4,2.84,11946000.0,10.86,1.45,1.17,5928000.0,3726000.0,0.63,0.17,AggressiveNewLong,"GRANULES,",24.17,2024-07-04,0.0316
Bandhan Bank Ltd.,BANDHANBNK,2800.0,Banking,Bank - Private,Mid Cap,208.06,-1.45,119686000.0,10.16,2.2,1.42,46998000.0,27168400.0,0.58,-0.04,AggressiveNewShort,"BANDHANBNK,",24.07,2024-07-04,0.0922
JK Cement Ltd.,JKCEMENT,125.0,Construction Materials,Cement & Construction Materials,Mid Cap,4291.3,-0.35,756125.0,9.94,1.0,0.77,282125.0,117500.0,0.42,-0.02,NewShort,"JKCEMENT,",28.86,2024-07-04,0.0397
Tech Mahindra Ltd.,TECHM,600.0,Information Technology,IT - Software,Large Cap,1459.15,-1.4,17015400.0,6.7,0.5,0.47,5097600.0,2979000.0,0.58,-0.11,NewShort,"TECHM,",43.93,2024-07-04,0.0398
Syngene International Ltd.,SYNGENE,1000.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,725.75,1.06,5650000.0,6.58,1.79,2.27,2659000.0,1526000.0,0.57,-0.09,AggressiveNewLong,"SYNGENE,",56.62,2024-07-04,0.0352
Zydus Lifesciences Ltd.,ZYDUSLIFE,900.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,1137.05,3.82,15468300.0,6.57,1.87,1.21,2739600.0,2025900.0,0.74,0.17,AggressiveNewLong,"ZYDUSLIFE,",37.99,2024-07-04,0.0102
HCL Technologies Ltd.,HCLTECH,350.0,Information Technology,IT - Software,Large Cap,1522.35,2.79,18753700.0,-6.31,1.61,1.45,5839750.0,3697400.0,0.63,0.12,AggressiveShortCover,"HCLTECH,",53.6,2024-07-04,0.0202
Can Fin Homes Ltd.,CANFINHOME,975.0,Finance,Finance - Housing,Small Cap,890.6,-1.36,6237075.0,6.28,0.26,0.2,3622125.0,2421900.0,0.67,-0.04,NewShort,"CANFINHOME,",30.65,2024-07-04,0.023799999999999998
Chambal Fertilisers and Chemicals Ltd.,CHAMBLFERT,1900.0,Chemicals,Fertilizers,Small Cap,518.1,0.53,11316400.0,6.28,0.69,0.42,9933200.0,4615100.0,0.46,-0.04,NewLong,"CHAMBLFERT,",25.34,2024-07-04,0.0458
ACC Ltd.,ACC,300.0,Construction Materials,Cement & Construction Materials,Mid Cap,2725.5,-1.52,4863600.0,-6.08,0.74,0.81,2540400.0,1214100.0,0.48,-0.02,LongCover,"ACC,",35.69,2024-07-04,0.018600000000000002
Bajaj Finance Ltd.,BAJFINANCE,125.0,Finance,Finance - NBFC,Large Cap,7107.05,-2.09,9516375.0,5.79,1.95,2.02,6003000.0,3099375.0,0.52,-0.08,AggressiveNewShort,"BAJFINANCE,",43.57,2024-07-04,0.0318
Muthoot Finance Ltd.,MUTHOOTFIN,550.0,Finance,Finance - NBFC,Mid Cap,1804.15,0.72,4087050.0,5.75,0.71,0.99,1408000.0,785400.0,0.56,0.0,NewLong,"MUTHOOTFIN,",60.67,2024-07-04,0.0126
Voltas Ltd.,VOLTAS,600.0,Consumer Durables,Air Conditioners,Mid Cap,1444.7,-0.49,8758800.0,5.62,1.06,1.19,2413200.0,1274400.0,0.53,0.01,AggressiveNewShort,"VOLTAS,",57.13,2024-07-04,0.0182
Cipla Ltd.,CIPLA,650.0,Healthcare,Pharmaceuticals & Drugs,Large Cap,1480.75,-0.2,11347700.0,5.27,0.89,0.6,4581850.0,1945450.0,0.42,-0.04,NewShort,"CIPLA,",43.13,2024-07-04,0.0218
Dr. Lal Pathlabs Ltd.,LALPATHLAB,300.0,Healthcare,Hospital & Healthcare Services,Small Cap,2906.65,3.03,1167600.0,5.27,1.95,2.02,759900.0,262800.0,0.35,-0.03,AggressiveNewLong,"LALPATHLAB,",43.91,2024-07-04,0.0242
Container Corporation Of India Ltd.,CONCOR,1000.0,Logistics,Logistics,Mid Cap,1032.55,0.98,14583000.0,4.75,2.0,1.73,7671000.0,3873000.0,0.5,-0.14,AggressiveNewLong,"CONCOR,",50.21,2024-07-04,0.0391
Ambuja Cements Ltd.,AMBUJACEM,900.0,Construction Materials,Cement & Construction Materials,Large Cap,682.1,-1.53,35169300.0,-4.56,0.83,1.11,8699400.0,8544600.0,0.98,-0.03,LongCover,"AMBUJACEM,",56.19,2024-07-04,0.0217
