Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
Sun TV Network Ltd.,SUNTV,1500.0,Media & Entertainment,TV Broadcasting & Software Production,Mid Cap,778.95,3.43,7609500.0,18.28,2.34,1.21,5959500.0,3930000.0,0.66,-0.08,AggressiveNewLong,"SUNTV,",21.09,2024-06-12,0.0723
Container Corporation Of India Ltd.,CONCOR,1000.0,Logistics,Logistics,Mid Cap,1141.35,4.92,8970000.0,-13.07,1.57,1.62,7012000.0,5058000.0,0.72,0.14,AggressiveShortCover,"CONCOR,",46.92,2024-06-12,0.1032
Pidilite Industries Ltd.,PIDILITIND,250.0,Chemicals,Chemicals,Large Cap,3078.5,-3.05,2285000.0,11.85,1.4,1.33,1069750.0,494750.0,0.46,-0.18,AggressiveNewShort,"PIDILITIND,",56.5,2024-06-12,0.0492
Balrampur Chini Mills Ltd.,BALRAMCHIN,1600.0,Agriculture,Sugar,Small Cap,419.55,3.49,12001600.0,-11.73,3.13,3.7,3832000.0,3169600.0,0.83,0.14,AggressiveShortCover,"BALRAMCHIN,",46.48,2024-06-12,0.1211
Tata Chemicals Ltd.,TATACHEM,550.0,Chemicals,Chemicals,Mid Cap,1123.6,1.1,7669750.0,-10.71,1.79,2.15,6231500.0,4695350.0,0.75,0.11,AggressiveShortCover,"TATACHEM,",29.17,2024-06-12,0.09230000000000001
Interglobe Aviation Ltd.,INDIGO,300.0,Aviation,Airlines,Large Cap,4300.4,-1.58,9084900.0,9.76,1.1,1.2,5884500.0,3066900.0,0.52,-0.03,AggressiveNewShort,"INDIGO,",54.15,2024-06-12,0.067
Oracle Financial Services Software Ltd.,OFSS,100.0,Information Technology,IT - Software,Mid Cap,8742.85,3.61,808600.0,7.84,2.91,1.34,813800.0,426000.0,0.52,0.0,AggressiveNewLong,"OFSS,",15.82,2024-06-12,0.0404
Ambuja Cements Ltd.,AMBUJACEM,900.0,Construction Materials,Cement & Construction Materials,Large Cap,668.7,4.53,35748000.0,7.73,1.3,1.29,14568300.0,12856500.0,0.88,0.09,AggressiveNewLong,"AMBUJACEM,",43.22,2024-06-12,0.018500000000000003
United Spirits Ltd.,UNITDSPR,700.0,Alcohol,Breweries & Distilleries,Large Cap,1290.85,-2.04,9086700.0,7.52,1.03,1.5,2265200.0,1609300.0,0.71,-0.16,AggressiveNewShort,"UNITDSPR,",73.91,2024-06-12,0.022400000000000003
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,1800.0,Consumer Durables,Consumer Durables - Domestic Appliances,Small Cap,422.2,2.68,18642600.0,7.46,0.81,0.82,5457600.0,4275000.0,0.78,0.12,NewLong,"CROMPTON,",48.3,2024-06-12,0.0356
GMR Airports Infrastructure Ltd.,GMRINFRA,11250.0,Aviation,Airport Management Services,Mid Cap,90.13,-0.9,259740000.0,-7.3,0.74,0.9,127845000.0,77951250.0,0.61,0.04,LongCover,"GMRINFRA,",42.18,2024-06-12,0.0967
JK Cement Ltd.,JKCEMENT,125.0,Construction Materials,Cement & Construction Materials,Mid Cap,4248.55,1.03,508500.0,6.6,0.77,0.69,156500.0,110625.0,0.71,-0.11,NewLong,"JKCEMENT,",52.32,2024-06-12,0.028300000000000002
Marico Ltd.,MARICO,1200.0,Fast Moving Consumer Goods,Consumer Food,Large Cap,629.5,-2.75,14098800.0,6.31,0.9,0.98,8070000.0,3732000.0,0.46,-0.2,NewShort,"MARICO,",46.3,2024-06-12,0.0282
Tata Motors Ltd.,TATAMOTORS,1425.0,Automobile & Ancillaries,Automobiles-Trucks/Lcv,Large Cap,988.7,0.16,78049475.0,6.21,1.34,1.41,72520000.0,39810000.0,0.55,0.01,AggressiveNewLong,"TATAMOTORS,",47.89,2024-06-12,0.0712
LIC Housing Finance Ltd.,LICHSGFIN,1000.0,Finance,Finance - Housing,Mid Cap,715.4,5.19,28377000.0,6.08,3.2,2.17,9654000.0,10418000.0,1.08,0.2,AggressiveNewLong,"LICHSGFIN,",30.29,2024-06-12,0.0263
Escorts Kubota Ltd.,ESCORTS,275.0,Automobile & Ancillaries,Automobiles-Tractors,Mid Cap,4122.6,-0.09,1274900.0,-6.0,0.51,0.33,708675.0,560450.0,0.79,-0.03,LongCover,"ESCORTS,",20.2,2024-06-12,0.0278
Indian Energy Exchange Ltd.,IEX,3750.0,Power,Power Generation/Distribution,Small Cap,173.61,2.92,71197500.0,5.92,1.16,1.03,43383750.0,28586250.0,0.66,0.03,AggressiveNewLong,"IEX,",32.76,2024-06-12,0.0791
Apollo Tyres Ltd.,APOLLOTYRE,1700.0,Automobile & Ancillaries,Tyres & Allied,Mid Cap,477.9,-0.72,17175100.0,5.91,0.88,0.91,9608400.0,4970800.0,0.52,-0.02,NewShort,"APOLLOTYRE,",50.4,2024-06-12,0.0875
HDFC Asset Management Company Ltd.,HDFCAMC,150.0,Finance,Finance - Asset Management,Mid Cap,4004.1,4.91,2851650.0,5.9,0.99,0.75,1217100.0,591000.0,0.49,0.08,NewLong,"HDFCAMC,",32.6,2024-06-12,0.0823
The Federal Bank Ltd.,FEDERALBNK,5000.0,Banking,Bank - Private,Mid Cap,173.86,3.74,77940000.0,5.85,1.78,1.4,46175000.0,31310000.0,0.68,0.13,AggressiveNewLong,"FEDERALBNK,",31.21,2024-06-12,0.0583
Infosys Ltd.,INFY,400.0,Information Technology,IT - Software,Large Cap,1485.2,-0.71,46766400.0,5.78,0.83,0.98,24799600.0,10901200.0,0.44,-0.04,NewShort,"INFY,",75.07,2024-06-12,0.0545
Indus Towers Ltd.,INDUSTOWER,3400.0,Telecom,Telecommunication - Service  Provider,Mid Cap,342.15,-1.67,77506400.0,5.69,1.03,1.23,25897800.0,15704600.0,0.61,-0.07,AggressiveNewShort,"INDUSTOWER,",47.81,2024-06-12,0.0308
Metropolis Healthcare Ltd.,METROPOLIS,400.0,Healthcare,Hospital & Healthcare Services,Small Cap,1950.7,-2.27,1822000.0,5.64,0.95,0.73,1162000.0,468400.0,0.4,0.01,NewShort,"METROPOLIS,",36.25,2024-06-12,0.08650000000000001
Power Grid Corporation Of India Ltd.,POWERGRID,3600.0,Power,Power Generation/Distribution,Large Cap,324.65,2.56,65170800.0,-5.59,0.65,0.74,49683600.0,35863200.0,0.72,0.11,ShortCover,"POWERGRID,",55.54,2024-06-12,0.042
Coromandel International Ltd.,COROMANDEL,700.0,Chemicals,Fertilizers,Mid Cap,1474.95,0.59,3080000.0,5.57,0.69,0.58,1236900.0,1286600.0,1.04,-0.14,NewLong,"COROMANDEL,",34.21,2024-06-12,0.09230000000000001
ABB India Ltd.,ABB,125.0,Capital Goods,Electric Equipment,Large Cap,8281.0,2.29,1128625.0,-5.5,0.84,0.94,806875.0,408375.0,0.51,0.04,ShortCover,"ABB,",45.99,2024-06-12,0.0815
L&T Finance Ltd.,LTF,4462.0,Finance,Finance - NBFC,Mid Cap,170.62,3.47,58617294.0,5.35,1.58,1.32,29498282.0,14265014.0,0.48,0.04,AggressiveNewLong,"LTF,",43.04,2024-06-12,0.0495
Dr. Lal Pathlabs Ltd.,LALPATHLAB,300.0,Healthcare,Hospital & Healthcare Services,Small Cap,2751.85,-1.79,1387500.0,-4.99,1.21,1.54,670800.0,240600.0,0.36,-0.03,AggressiveLongCover,"LALPATHLAB,",62.86,2024-06-12,0.0344
ICICI Bank Ltd.,ICICIBANK,700.0,Banking,Bank - Private,Large Cap,1119.55,0.12,71307600.0,-4.96,0.8,0.95,32844700.0,13323100.0,0.41,0.0,ShortCover,"ICICIBANK,",51.94,2024-06-12,0.04
Cummins India Ltd.,CUMMINSIND,300.0,Automobile & Ancillaries,Diesel Engines,Mid Cap,3674.85,3.06,4168500.0,-4.95,1.03,1.05,1720500.0,942300.0,0.55,0.05,AggressiveShortCover,"CUMMINSIND,",47.32,2024-06-12,0.0275
Can Fin Homes Ltd.,CANFINHOME,975.0,Finance,Finance - Housing,Small Cap,804.5,1.75,3677700.0,4.89,1.54,1.39,2463825.0,1741350.0,0.71,0.12,AggressiveNewLong,"CANFINHOME,",43.38,2024-06-12,0.0716
Muthoot Finance Ltd.,MUTHOOTFIN,550.0,Finance,Finance - NBFC,Mid Cap,1778.95,1.26,3896750.0,4.73,2.31,2.92,1729200.0,908600.0,0.53,-0.04,AggressiveNewLong,"MUTHOOTFIN,",61.68,2024-06-12,0.051500000000000004
United Breweries Ltd.,UBL,400.0,Alcohol,Breweries & Distilleries,Mid Cap,2129.5,-0.49,1932800.0,4.68,0.61,1.12,764400.0,606400.0,0.79,-0.01,NewShort,"UBL,",54.89,2024-06-12,0.0362
Divi's Laboratories Ltd.,DIVISLAB,200.0,Healthcare,Pharmaceuticals & Drugs,Large Cap,4452.35,-0.52,2510400.0,4.63,0.49,0.41,1475200.0,795800.0,0.54,-0.03,NewShort,"DIVISLAB,",44.47,2024-06-12,0.0302
Hindustan Copper Ltd.,HINDCOPPER,2650.0,Non - Ferrous Metals,Metal - Non Ferrous,Small Cap,335.4,1.7,36779350.0,-4.62,0.44,0.55,18073000.0,11010750.0,0.61,0.02,ShortCover,"HINDCOPPER,",35.28,2024-06-12,0.1452
Birlasoft Ltd.,BSOFT,1000.0,Information Technology,IT - Software,Small Cap,672.25,-0.1,13402000.0,4.49,0.49,0.46,6734000.0,4244000.0,0.63,-0.03,NewShort,"BSOFT,",32.74,2024-06-12,0.0795
Bharat Petroleum Corporation Ltd.,BPCL,900.0,Crude Oil,Refineries,Large Cap,613.35,1.01,37559700.0,4.39,0.79,0.69,29937600.0,15660000.0,0.52,-0.01,NewLong,"BPCL,",36.76,2024-06-12,0.0661
The India Cements Ltd.,INDIACEM,2900.0,Construction Materials,Cement & Construction Materials,Small Cap,219.56,1.57,27622500.0,-4.39,0.96,1.08,8856600.0,5536100.0,0.63,0.02,ShortCover,"INDIACEM,",29.96,2024-06-12,0.09449999999999999
Bajaj Finserv Ltd.,BAJAJFINSV,500.0,Finance,Finance - Investment,Large Cap,1579.1,0.69,11673000.0,4.28,0.95,1.14,4954000.0,2185500.0,0.44,-0.03,NewLong,"BAJAJFINSV,",58.28,2024-06-12,0.0341
MRF Ltd.,MRF,5.0,Automobile & Ancillaries,Tyres & Allied,Mid Cap,126077.45,-0.14,53665.0,4.0,0.56,0.39,14960.0,8265.0,0.55,-0.04,NewShort,"MRF,",26.81,2024-06-12,0.0633
