Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
Mahanagar Gas Ltd.,MGL,400.0,Gas Transmission,Gas Transmission/Marketing,Small Cap,1746.8,9.39,2348400.0,51.04,4.6,3.12,2124800.0,1474400.0,0.69,0.17,AggressiveNewLong,"MGL,",15.77,2024-07-01,0.1116
Oracle Financial Services Software Ltd.,OFSS,100.0,Information Technology,IT - Software,Mid Cap,10194.25,3.16,1684100.0,20.15,2.99,2.19,719700.0,395700.0,0.55,0.0,AggressiveNewLong,"OFSS,",36.28,2024-07-01,0.021099999999999997
Syngene International Ltd.,SYNGENE,1000.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,715.75,0.81,5471000.0,17.18,1.73,0.85,2508000.0,1356000.0,0.54,-0.08,NewLong,"SYNGENE,",24.36,2024-07-01,0.0174
Bata India Ltd.,BATAINDIA,375.0,Retailing,Footwear,Small Cap,1496.15,-1.16,3717000.0,11.1,1.21,1.29,1836750.0,924000.0,0.5,-0.02,AggressiveNewShort,"BATAINDIA,",59.49,2024-07-01,0.0708
Deepak Nitrite Ltd.,DEEPAKNTR,300.0,Chemicals,Chemicals,Mid Cap,2616.0,4.56,2031300.0,11.02,2.21,1.86,989700.0,573900.0,0.58,-0.02,AggressiveNewLong,"DEEPAKNTR,",34.94,2024-07-01,0.031200000000000002
Hero MotoCorp Ltd.,HEROMOTOCO,150.0,Automobile & Ancillaries,Automobile Two & Three Wheelers,Mid Cap,5603.1,0.42,4290450.0,10.95,1.51,1.41,1161600.0,603300.0,0.52,0.0,AggressiveNewLong,"HEROMOTOCO,",52.79,2024-07-01,0.0206
Maruti Suzuki India Ltd.,MARUTI,50.0,Automobile & Ancillaries,Automobiles - Passenger Cars,Large Cap,12108.65,0.62,3612600.0,10.44,1.42,1.38,2212550.0,1112500.0,0.5,0.02,AggressiveNewLong,"MARUTI,",64.12,2024-07-01,0.027200000000000002
Sun TV Network Ltd.,SUNTV,1500.0,Media & Entertainment,TV Broadcasting & Software Production,Mid Cap,778.15,3.45,6052500.0,10.31,1.03,0.59,3003000.0,1042500.0,0.35,-0.07,NewLong,"SUNTV,",31.38,2024-07-01,0.0401
The India Cements Ltd.,INDIACEM,2900.0,Construction Materials,Cement & Construction Materials,Small Cap,283.0,-3.6,20389900.0,-9.99,0.18,0.33,19140000.0,13505300.0,0.71,-0.04,LongCover,"INDIACEM,",31.98,2024-07-01,0.0946
Indus Towers Ltd.,INDUSTOWER,3400.0,Telecom,Telecommunication - Service  Provider,Mid Cap,389.65,3.82,98365400.0,-9.94,0.69,0.82,25326600.0,18740800.0,0.74,0.03,ShortCover,"INDUSTOWER,",58.42,2024-07-01,0.039599999999999996
Indiamart Intermesh Ltd.,INDIAMART,300.0,Information Technology,e-Commerce,Small Cap,2684.8,0.15,1077300.0,9.38,0.54,0.56,346500.0,290100.0,0.84,-0.06,NewLong,"INDIAMART,",40.46,2024-07-01,0.0362
JK Cement Ltd.,JKCEMENT,125.0,Construction Materials,Cement & Construction Materials,Mid Cap,4469.2,1.83,582250.0,8.86,0.23,0.14,159250.0,102625.0,0.64,0.04,NewLong,"JKCEMENT,",22.63,2024-07-01,0.015700000000000002
Shriram Finance Ltd.,SHRIRAMFIN,300.0,Finance,Finance - NBFC,Large Cap,2924.25,0.44,4994400.0,8.11,0.69,0.9,804600.0,584100.0,0.73,0.01,NewLong,"SHRIRAMFIN,",69.58,2024-07-01,0.009300000000000001
Punjab National Bank,PNB,8000.0,Banking,Bank - Public,Large Cap,122.46,-0.65,216696000.0,7.54,0.64,0.73,75752000.0,43640000.0,0.58,0.01,NewShort,"PNB,",54.27,2024-07-01,0.0625
IDFC Ltd.,IDFC,5000.0,Finance,Finance - NBFC,Small Cap,120.13,-1.66,108390000.0,7.17,2.93,4.82,14600000.0,11440000.0,0.78,-0.01,AggressiveNewShort,"IDFC,",75.33,2024-07-01,0.0294
PVR Inox Ltd.,PVRINOX,407.0,Media & Entertainment,"Film Production, Distribution & Entertainment",Small Cap,1497.8,4.94,4595844.0,-6.52,3.52,3.52,2459094.0,1797719.0,0.73,0.14,AggressiveShortCover,"PVRINOX,",35.38,2024-07-01,0.0567
Can Fin Homes Ltd.,CANFINHOME,975.0,Finance,Finance - Housing,Small Cap,923.45,0.9,5474625.0,6.41,0.9,1.52,2727075.0,1659450.0,0.61,0.04,NewLong,"CANFINHOME,",39.06,2024-07-01,0.0141
Ashok Leyland Ltd.,ASHOKLEY,5000.0,Automobile & Ancillaries,Automobiles-Trucks/Lcv,Mid Cap,238.78,-1.29,77745000.0,6.35,1.08,1.51,33975000.0,18885000.0,0.56,-0.04,AggressiveNewShort,"ASHOKLEY,",46.21,2024-07-01,0.022799999999999997
ACC Ltd.,ACC,300.0,Construction Materials,Cement & Construction Materials,Mid Cap,2749.6,4.98,5143500.0,6.12,1.34,1.08,1765500.0,825300.0,0.47,0.0,AggressiveNewLong,"ACC,",36.0,2024-07-01,0.011000000000000001
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,GNFC,1300.0,Chemicals,Fertilizers,Small Cap,724.15,1.92,5866900.0,5.91,0.82,0.76,4162600.0,2354300.0,0.57,0.0,NewLong,"GNFC,",32.97,2024-07-01,0.0412
Mphasis Ltd.,MPHASIS,275.0,Information Technology,IT - Software,Mid Cap,2494.9,1.56,5048175.0,5.87,1.69,1.37,1634050.0,915475.0,0.56,-0.2,AggressiveNewLong,"MPHASIS,",44.8,2024-07-01,0.0223
Hindustan Copper Ltd.,HINDCOPPER,2650.0,Non - Ferrous Metals,Metal - Non Ferrous,Small Cap,322.2,1.1,38273950.0,5.59,0.7,1.04,9865950.0,6092350.0,0.62,0.01,NewLong,"HINDCOPPER,",55.89,2024-07-01,0.0504
Coforge Ltd.,COFORGE,150.0,Information Technology,IT - Software,Mid Cap,5518.4,1.09,2242950.0,-5.5,1.14,1.01,929850.0,692700.0,0.74,0.06,AggressiveShortCover,"COFORGE,",30.38,2024-07-01,0.0443
Dr. Lal Pathlabs Ltd.,LALPATHLAB,300.0,Healthcare,Hospital & Healthcare Services,Small Cap,2823.5,1.54,1107900.0,5.39,1.15,0.94,366600.0,142800.0,0.39,0.06,NewLong,"LALPATHLAB,",33.23,2024-07-01,0.0171
Zydus Lifesciences Ltd.,ZYDUSLIFE,900.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,1067.3,-0.62,13221900.0,5.39,1.32,1.28,1356300.0,1001700.0,0.74,0.07,AggressiveNewShort,"ZYDUSLIFE,",62.01,2024-07-01,0.009000000000000001
United Breweries Ltd.,UBL,400.0,Alcohol,Breweries & Distilleries,Mid Cap,2009.6,1.19,2145200.0,-5.16,0.46,0.46,457200.0,315200.0,0.69,-0.01,ShortCover,"UBL,",41.3,2024-07-01,0.0132
Bajaj Finserv Ltd.,BAJAJFINSV,500.0,Finance,Finance - Investment,Large Cap,1580.2,-0.5,13076500.0,5.14,1.23,1.73,4112500.0,2108500.0,0.51,-0.13,AggressiveNewShort,"BAJAJFINSV,",73.89,2024-07-01,0.019
IDFC First Bank Ltd.,IDFCFIRSTB,7500.0,Banking,Bank - Private,Mid Cap,81.14,-1.24,383527500.0,4.88,0.87,1.21,153030000.0,78502500.0,0.51,-0.01,NewShort,"IDFCFIRSTB,",50.37,2024-07-01,0.0579
The Ramco Cements Ltd.,RAMCOCEM,850.0,Construction Materials,Cement & Construction Materials,Mid Cap,857.25,2.49,7169750.0,-4.75,0.51,0.72,4099550.0,2640950.0,0.64,0.06,ShortCover,"RAMCOCEM,",47.82,2024-07-01,0.0292
Container Corporation Of India Ltd.,CONCOR,1000.0,Logistics,Logistics,Mid Cap,1036.4,-0.58,12766000.0,4.73,0.56,0.63,4043000.0,2802000.0,0.69,0.0,NewShort,"CONCOR,",62.61,2024-07-01,0.024700000000000003
IndusInd Bank Ltd.,INDUSINDBK,500.0,Banking,Bank - Private,Large Cap,1456.9,-0.52,28116500.0,4.47,0.63,0.61,9131500.0,6908000.0,0.76,-0.05,NewShort,"INDUSINDBK,",53.5,2024-07-01,0.0171
Ultratech Cement Ltd.,ULTRACEMCO,100.0,Construction Materials,Cement & Construction Materials,Large Cap,11904.65,2.03,2416600.0,4.39,0.56,0.69,1205300.0,846900.0,0.7,0.13,NewLong,"ULTRACEMCO,",47.92,2024-07-01,0.10619999999999999
Godrej Properties Ltd.,GODREJPROP,225.0,Realty,Construction - Real Estate,Mid Cap,3161.65,-1.44,3403800.0,4.38,1.38,1.29,1596375.0,652725.0,0.41,-0.07,AggressiveNewShort,"GODREJPROP,",36.53,2024-07-01,0.028999999999999998
Steel Authority Of India Ltd.,SAIL,4000.0,Iron & Steel,Steel & Iron Products,Mid Cap,149.06,0.28,139864000.0,4.26,0.56,0.52,35416000.0,20444000.0,0.58,-0.01,NewLong,"SAIL,",37.19,2024-07-01,0.050300000000000004
Bharat Electronics Ltd.,BEL,2850.0,Capital Goods,Engineering - Industrial Equipments,Large Cap,307.65,0.57,156456450.0,4.19,1.26,1.31,61608450.0,37166850.0,0.6,-0.03,AggressiveNewLong,"BEL,",47.86,2024-07-01,0.0533
Balkrishna Industries Ltd.,BALKRISIND,300.0,Automobile & Ancillaries,Tyres & Allied,Mid Cap,3190.9,-1.18,1989900.0,4.18,0.61,0.64,478200.0,258900.0,0.54,-0.05,NewShort,"BALKRISIND,",59.68,2024-07-01,0.01
Aditya Birla Fashion and Retail Ltd.,ABFRL,2600.0,Retailing,Retailing,Small Cap,322.5,3.32,39429000.0,4.03,1.11,0.96,13460200.0,6913400.0,0.51,-0.02,NewLong,"ABFRL,",38.73,2024-07-01,0.027000000000000003
Hindustan Unilever Ltd.,HINDUNILVR,300.0,Fast Moving Consumer Goods,Household & Personal Products,Large Cap,2505.1,1.3,17463600.0,-4.0,1.65,1.87,4740900.0,2698800.0,0.57,0.0,AggressiveShortCover,"HINDUNILVR,",65.3,2024-07-01,0.017
Apollo Tyres Ltd.,APOLLOTYRE,1700.0,Automobile & Ancillaries,Tyres & Allied,Mid Cap,545.9,0.74,15116400.0,3.87,0.52,0.46,9975600.0,6441300.0,0.65,0.02,NewLong,"APOLLOTYRE,",31.52,2024-07-01,0.023399999999999997
Cipla Ltd.,CIPLA,650.0,Healthcare,Pharmaceuticals & Drugs,Large Cap,1479.1,-0.11,10604100.0,3.8,0.71,0.71,3267550.0,1539850.0,0.47,0.01,NewShort,"CIPLA,",60.52,2024-07-01,0.0131
The Indian Hotels Company Ltd.,INDHOTEL,1000.0,Hospitality,"Hotel, Resort & Restaurants",Mid Cap,614.8,-1.64,18391000.0,3.71,0.46,0.49,6269000.0,3363000.0,0.54,-0.06,NewShort,"INDHOTEL,",53.42,2024-07-01,0.0177
State Bank Of India,SBIN,750.0,Banking,Bank - Public,Large Cap,841.95,-0.82,93566250.0,3.69,0.58,0.73,40061250.0,21420000.0,0.53,-0.07,NewShort,"SBIN,",48.28,2024-07-01,0.0231
Larsen & Toubro Ltd.,LT,150.0,Infrastructure,Engineering - Construction,Large Cap,3526.55,-0.62,17319600.0,3.63,0.95,1.1,4287450.0,2477400.0,0.58,-0.09,NewShort,"LT,",76.06,2024-07-01,0.0192
Biocon Ltd.,BIOCON,2500.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,357.65,1.87,53400000.0,3.61,1.74,2.19,12852500.0,8060000.0,0.63,-0.03,AggressiveNewLong,"BIOCON,",45.11,2024-07-01,0.023
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,125.0,Healthcare,Hospital & Healthcare Services,Large Cap,6140.5,-0.73,2081875.0,3.6,0.93,1.0,512625.0,325625.0,0.64,-0.02,NewShort,"APOLLOHOSP,",64.57,2024-07-01,0.009300000000000001
Persistent Systems Ltd.,PERSISTENT,200.0,Information Technology,IT - Software,Mid Cap,4496.15,6.01,2218600.0,-3.58,2.95,1.58,957000.0,892600.0,0.93,0.16,AggressiveShortCover,"PERSISTENT,",22.84,2024-07-01,0.026600000000000002
Hindustan Aeronautics Ltd.,HAL,300.0,Other,Defence,Large Cap,5394.05,2.47,13208700.0,3.5,0.83,1.09,6135900.0,3804300.0,0.62,-0.04,NewLong,"HAL,",45.32,2024-07-01,0.036699999999999997
Bandhan Bank Ltd.,BANDHANBNK,2800.0,Banking,Bank - Private,Mid Cap,205.86,1.02,102099200.0,3.46,0.43,0.56,29920800.0,20932800.0,0.7,-0.01,NewLong,"BANDHANBNK,",45.21,2024-07-01,0.057
NTPC Ltd.,NTPC,1500.0,Power,Power Generation/Distribution,Large Cap,369.75,-2.27,94272000.0,3.46,0.97,1.03,27654000.0,11728500.0,0.42,-0.11,NewShort,"NTPC,",60.6,2024-07-01,0.0265
