Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
Interglobe Aviation Ltd.,INDIGO,300.0,Aviation,Airlines,Large Cap,4369.5,-4.32,8277000.0,51.69,2.47,1.97,4948200.0,2730600.0,0.55,-0.24,AggressiveNewShort,"INDIGO,",41.98,2024-06-11,0.056299999999999996
Sun TV Network Ltd.,SUNTV,1500.0,Media & Entertainment,TV Broadcasting & Software Production,Mid Cap,753.1,3.83,6433500.0,23.64,0.76,1.07,3853500.0,2839500.0,0.74,0.08,NewLong,"SUNTV,",47.66,2024-06-11,0.066
GMR Airports Infrastructure Ltd.,GMRINFRA,11250.0,Aviation,Airport Management Services,Mid Cap,90.95,4.62,280181250.0,19.55,2.33,1.39,150153750.0,86253750.0,0.57,-0.07,AggressiveNewLong,"GMRINFRA,",25.58,2024-06-11,0.0933
Hindustan Copper Ltd.,HINDCOPPER,2650.0,Non - Ferrous Metals,Metal - Non Ferrous,Small Cap,329.8,-2.03,38562800.0,13.09,0.66,0.76,19935950.0,11779250.0,0.59,-0.09,NewShort,"HINDCOPPER,",35.51,2024-06-11,0.1438
PI Industries Ltd.,PIIND,250.0,Chemicals,Pesticides & Agrochemicals,Mid Cap,3607.1,-0.92,1694750.0,10.26,0.86,1.1,676250.0,426000.0,0.63,-0.13,NewShort,"PIIND,",65.03,2024-06-11,0.0504
The Ramco Cements Ltd.,RAMCOCEM,850.0,Construction Materials,Cement & Construction Materials,Mid Cap,857.4,-2.21,10213600.0,-10.19,1.25,1.46,4687750.0,2703000.0,0.58,-0.09,AggressiveLongCover,"RAMCOCEM,",44.19,2024-06-11,0.051100000000000007
Oberoi Realty Ltd.,OBEROIRLTY,700.0,Realty,Construction - Real Estate,Mid Cap,1930.75,1.66,5860400.0,8.1,1.56,2.4,2109100.0,1499400.0,0.71,-0.16,AggressiveNewLong,"OBEROIRLTY,",61.22,2024-06-11,0.0124
Mahanagar Gas Ltd.,MGL,400.0,Gas Transmission,Gas Transmission/Marketing,Small Cap,1419.1,0.49,2085200.0,-6.94,0.88,1.18,2480000.0,1010800.0,0.41,0.05,ShortCover,"MGL,",40.59,2024-06-11,0.0418
ABB India Ltd.,ABB,125.0,Capital Goods,Electric Equipment,Large Cap,8095.25,0.41,1194375.0,6.57,0.62,0.54,833875.0,395125.0,0.47,-0.06,NewLong,"ABB,",35.89,2024-06-11,0.0726
Coal India Ltd.,COALINDIA,2100.0,Mining,Mining & Minerals,Large Cap,476.35,-0.28,54870900.0,6.13,0.52,0.68,51468900.0,26342400.0,0.51,0.01,NewShort,"COALINDIA,",55.11,2024-06-11,0.0546
Tata Chemicals Ltd.,TATACHEM,550.0,Chemicals,Chemicals,Mid Cap,1111.4,2.34,8589900.0,-6.05,2.0,1.83,7840250.0,5008850.0,0.64,0.12,AggressiveShortCover,"TATACHEM,",23.92,2024-06-11,0.08
Dr. Reddy's Laboratories Ltd.,DRREDDY,125.0,Healthcare,Pharmaceuticals & Drugs,Large Cap,6039.25,-1.1,2588875.0,6.0,0.79,0.92,1426875.0,846250.0,0.59,0.1,NewShort,"DRREDDY,",67.03,2024-06-11,0.0342
Ipca Laboratories Ltd.,IPCALAB,650.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,1173.7,-0.25,2665000.0,5.48,1.21,2.0,1753050.0,986050.0,0.56,-0.03,AggressiveNewShort,"IPCALAB,",69.62,2024-06-11,0.0602
Apollo Tyres Ltd.,APOLLOTYRE,1700.0,Automobile & Ancillaries,Tyres & Allied,Mid Cap,481.35,-1.19,16216300.0,5.1,0.79,1.03,8362300.0,4537300.0,0.54,0.02,NewShort,"APOLLOTYRE,",59.33,2024-06-11,0.0687
Oil & Natural Gas Corporation Ltd.,ONGC,1925.0,Crude Oil,Oil Exploration,Large Cap,273.55,5.56,81845225.0,4.93,1.34,0.9,88911900.0,28925050.0,0.33,0.09,NewLong,"ONGC,",30.91,2024-06-11,0.05
PVR Inox Ltd.,PVRINOX,407.0,Media & Entertainment,"Film Production, Distribution & Entertainment",Small Cap,1381.45,2.61,4465604.0,-4.83,2.31,2.89,2830278.0,1310133.0,0.46,0.04,AggressiveShortCover,"PVRINOX,",53.39,2024-06-11,0.0762
Maruti Suzuki India Ltd.,MARUTI,50.0,Automobile & Ancillaries,Automobiles - Passenger Cars,Large Cap,12863.65,1.15,2374200.0,4.82,0.7,0.69,2237200.0,868000.0,0.39,0.08,NewLong,"MARUTI,",51.72,2024-06-11,0.0189
UPL Ltd.,UPL,1300.0,Chemicals,Pesticides & Agrochemicals,Mid Cap,554.3,0.51,37789700.0,4.77,0.84,0.68,17188600.0,10189400.0,0.59,0.0,NewLong,"UPL,",31.5,2024-06-11,0.0558
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,125.0,Healthcare,Hospital & Healthcare Services,Large Cap,6107.95,0.85,2198000.0,-4.74,1.04,0.92,1289875.0,699500.0,0.54,0.1,ShortCover,"APOLLOHOSP,",49.65,2024-06-11,0.0194
Vodafone Idea Ltd.,IDEA,40000.0,Telecom,Telecommunication - Service  Provider,Mid Cap,16.19,2.4,3756080000.0,4.57,0.75,0.76,1150800000.0,680840000.0,0.59,-0.01,NewLong,"IDEA,",34.29,2024-06-11,0.1734
City Union Bank Ltd.,CUB,5000.0,Banking,Bank - Private,Small Cap,149.47,1.23,24445000.0,4.53,0.73,0.44,12510000.0,7880000.0,0.63,-0.01,NewLong,"CUB,",28.16,2024-06-11,0.0761
Bharat Heavy Electricals Ltd.,BHEL,2625.0,Capital Goods,Engineering - Industrial Equipments,Mid Cap,295.2,3.78,72964500.0,-4.52,0.42,0.49,58844625.0,33195750.0,0.56,0.03,ShortCover,"BHEL,",31.33,2024-06-11,0.07
NMDC Ltd.,NMDC,4500.0,Mining,Mining & Minerals,Mid Cap,255.25,0.22,78606000.0,4.5,0.46,0.42,49869000.0,26685000.0,0.54,-0.02,NewLong,"NMDC,",34.42,2024-06-11,0.0499
Lupin Ltd.,LUPIN,425.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,1614.05,-1.23,7105575.0,4.44,0.58,0.68,3944850.0,2229975.0,0.57,-0.06,NewShort,"LUPIN,",59.16,2024-06-11,0.0431
Petronet LNG Ltd.,PETRONET,3000.0,Industrials Gases & Fuels,Industrial  Gases & Fuels,Mid Cap,315.25,4.13,42135000.0,4.28,1.78,1.98,19389000.0,11697000.0,0.6,0.01,AggressiveNewLong,"PETRONET,",45.02,2024-06-11,0.0461
Godrej Properties Ltd.,GODREJPROP,475.0,Realty,Construction - Real Estate,Mid Cap,2855.95,0.37,3544225.0,4.17,0.69,0.9,1916400.0,1109400.0,0.58,-0.01,NewLong,"GODREJPROP,",46.93,2024-06-11,0.0265
Indian Energy Exchange Ltd.,IEX,3750.0,Power,Power Generation/Distribution,Small Cap,168.68,1.96,67218750.0,4.16,1.56,1.61,39791250.0,25155000.0,0.63,0.03,AggressiveNewLong,"IEX,",37.77,2024-06-11,0.0745
The India Cements Ltd.,INDIACEM,2900.0,Construction Materials,Cement & Construction Materials,Small Cap,216.16,-0.91,28889800.0,-4.06,0.39,0.43,9935400.0,6090000.0,0.61,0.05,LongCover,"INDIACEM,",31.82,2024-06-11,0.0917
Can Fin Homes Ltd.,CANFINHOME,975.0,Finance,Finance - Housing,Small Cap,790.7,2.24,3506100.0,-3.93,1.49,1.63,2685150.0,1579500.0,0.59,-0.1,AggressiveShortCover,"CANFINHOME,",49.83,2024-06-11,0.0756
Balrampur Chini Mills Ltd.,BALRAMCHIN,1600.0,Agriculture,Sugar,Small Cap,405.4,2.17,13596800.0,-3.89,1.26,1.26,5428800.0,3761600.0,0.69,0.03,AggressiveShortCover,"BALRAMCHIN,",39.38,2024-06-11,0.1137
Granules India Ltd.,GRANULES,2000.0,Healthcare,Pharmaceuticals & Drugs,Small Cap,474.4,0.22,8868000.0,3.87,0.5,0.37,5326000.0,4326000.0,0.81,-0.01,NewLong,"GRANULES,",27.23,2024-06-11,0.038599999999999995
Eicher Motors Ltd.,EICHERMOT,175.0,Automobile & Ancillaries,Automobile Two & Three Wheelers,Large Cap,4758.65,-0.5,3800650.0,3.7,1.28,1.82,1118425.0,596750.0,0.53,-0.07,AggressiveNewShort,"EICHERMOT,",68.57,2024-06-11,0.0105
Cummins India Ltd.,CUMMINSIND,300.0,Automobile & Ancillaries,Diesel Engines,Mid Cap,3565.6,0.61,4385700.0,-3.64,0.33,0.4,1837500.0,921600.0,0.5,0.01,ShortCover,"CUMMINSIND,",57.02,2024-06-11,0.0268
Havells India Ltd.,HAVELLS,500.0,Capital Goods,Electric Equipment,Large Cap,1832.85,-1.29,5896500.0,3.63,0.78,0.92,2663500.0,1362000.0,0.51,-0.06,NewShort,"HAVELLS,",67.43,2024-06-11,0.0264
Max Financial Services Ltd.,MFSL,800.0,Finance,Finance - Others,Mid Cap,953.6,-0.04,5270400.0,-3.56,0.49,0.51,1042400.0,675200.0,0.65,0.02,LongCover,"MFSL,",69.05,2024-06-11,0.013500000000000002
Oracle Financial Services Software Ltd.,OFSS,100.0,Information Technology,IT - Software,Mid Cap,8438.25,0.38,749800.0,3.45,0.47,0.34,567600.0,293800.0,0.52,-0.14,NewLong,"OFSS,",28.15,2024-06-11,0.0361
Alkem Laboratories Ltd.,ALKEM,100.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,5066.85,0.71,979300.0,3.39,0.61,0.72,297700.0,106300.0,0.36,0.03,NewLong,"ALKEM,",58.48,2024-06-11,0.0102
Syngene International Ltd.,SYNGENE,1000.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,701.65,-1.22,5103000.0,3.32,0.59,0.54,2368000.0,1551000.0,0.65,0.0,NewShort,"SYNGENE,",43.33,2024-06-11,0.047599999999999996
Container Corporation Of India Ltd.,CONCOR,1000.0,Logistics,Logistics,Mid Cap,1087.8,3.11,10319000.0,-3.25,0.77,0.91,7480000.0,4341000.0,0.58,-0.03,ShortCover,"CONCOR,",51.48,2024-06-11,0.0737
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,1500.0,Finance,Insurance,Large Cap,581.65,0.11,11922000.0,-3.25,1.36,1.78,3382500.0,2260500.0,0.67,0.06,AggressiveShortCover,"ICICIPRULI,",55.97,2024-06-11,0.019799999999999998
Reliance Industries Ltd.,RELIANCE,250.0,Crude Oil,Refineries,Large Cap,2913.35,-1.0,39786000.0,3.23,0.59,0.79,24911250.0,11137500.0,0.45,-0.01,NewShort,"RELIANCE,",67.97,2024-06-11,0.0401
Polycab India Ltd.,POLYCAB,100.0,Electricals,Cable,Large Cap,6997.9,2.93,1612500.0,3.12,0.71,0.66,811325.0,454850.0,0.56,-0.05,NewLong,"POLYCAB,",38.83,2024-06-11,0.050499999999999996
Muthoot Finance Ltd.,MUTHOOTFIN,550.0,Finance,Finance - NBFC,Mid Cap,1756.8,-0.15,3720750.0,-3.09,0.99,1.14,1409650.0,808500.0,0.57,-0.03,LongCover,"MUTHOOTFIN,",49.27,2024-06-11,0.0475
Laurus Labs Ltd.,LAURUSLABS,1700.0,Healthcare,Pharmaceuticals & Drugs,Small Cap,442.15,-0.34,15483600.0,2.92,0.52,0.6,6376700.0,2691100.0,0.42,0.01,NewShort,"LAURUSLABS,",55.54,2024-06-11,0.0528
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,400.0,Logistics,Port,Large Cap,1403.45,1.4,33356000.0,2.83,0.22,0.28,26691600.0,15100000.0,0.57,0.01,NewLong,"ADANIPORTS,",41.38,2024-06-11,0.0707
IDFC Ltd.,IDFC,5000.0,Finance,Finance - NBFC,Small Cap,114.24,-0.24,92985000.0,2.81,0.68,1.09,18045000.0,13080000.0,0.72,0.02,NewShort,"IDFC,",68.89,2024-06-11,0.0352
Metropolis Healthcare Ltd.,METROPOLIS,400.0,Healthcare,Hospital & Healthcare Services,Small Cap,1996.1,-0.55,1724800.0,2.79,0.34,0.28,1006400.0,392800.0,0.39,-0.01,NewShort,"METROPOLIS,",39.74,2024-06-11,0.061
HDFC Asset Management Company Ltd.,HDFCAMC,150.0,Finance,Finance - Asset Management,Mid Cap,3816.85,0.69,2692650.0,-2.6,0.69,0.5,1240800.0,510450.0,0.41,-0.02,ShortCover,"HDFCAMC,",31.99,2024-06-11,0.047
Manappuram Finance Ltd.,MANAPPURAM,3000.0,Finance,Finance - NBFC,Small Cap,181.41,2.13,48339000.0,2.57,1.09,0.73,13980000.0,10341000.0,0.74,-0.01,NewLong,"MANAPPURAM,",28.0,2024-06-11,0.0401
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,625.0,Finance,Finance - NBFC,Large Cap,1332.3,-2.03,9756250.0,-2.56,0.62,0.58,2248750.0,1468750.0,0.65,-0.06,LongCover,"CHOLAFIN,",41.18,2024-06-11,0.012
