Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
Sun TV Network Ltd.,SUNTV,1500.0,Media & Entertainment,TV Broadcasting & Software Production,Mid Cap,692.1,2.9,4839000.0,18.08,1.7,1.38,2721000.0,1269000.0,0.47,0.04,AggressiveNewLong,"SUNTV,",17.29,2024-06-04,0.025699999999999997
JK Cement Ltd.,JKCEMENT,125.0,Construction Materials,Cement & Construction Materials,Mid Cap,3860.4,-4.11,367375.0,-15.79,1.8,1.35,40500.0,60250.0,1.49,0.38,AggressiveLongCover,"JKCEMENT,",45.85,2024-06-04,0.0218
Muthoot Finance Ltd.,MUTHOOTFIN,550.0,Finance,Finance - NBFC,Mid Cap,1646.7,-3.46,3688850.0,-15.35,0.93,0.67,1098900.0,721050.0,0.66,0.09,LongCover,"MUTHOOTFIN,",31.45,2024-06-04,0.0325
Marico Ltd.,MARICO,1200.0,Fast Moving Consumer Goods,Consumer Food,Large Cap,614.55,3.44,11346000.0,14.86,3.55,2.42,2328000.0,1498800.0,0.64,0.11,AggressiveNewLong,"MARICO,",38.18,2024-06-04,0.0108
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,400.0,Logistics,Port,Large Cap,1248.95,-21.15,30237200.0,-14.67,6.14,5.9,19909600.0,11758400.0,0.59,-0.19,AggressiveLongCover,"ADANIPORTS,",37.17,2024-06-04,0.0538
Max Financial Services Ltd.,MFSL,800.0,Finance,Finance - Others,Mid Cap,902.6,-3.71,5923200.0,-13.9,1.68,1.8,760800.0,491200.0,0.65,0.09,AggressiveLongCover,"MFSL,",59.67,2024-06-04,0.0118
Godrej Properties Ltd.,GODREJPROP,475.0,Realty,Construction - Real Estate,Mid Cap,2583.95,-12.84,3146800.0,-13.57,1.44,1.28,1139400.0,680875.0,0.6,0.05,AggressiveLongCover,"GODREJPROP,",31.86,2024-06-04,0.0181
Samvardhana Motherson International Ltd.,MOTHERSON,7100.0,Automobile & Ancillaries,Auto Ancillary,Mid Cap,142.15,-4.88,114018900.0,-12.34,0.92,0.98,40945700.0,25098500.0,0.61,-0.04,LongCover,"MOTHERSON,",43.94,2024-06-04,0.029500000000000002
Steel Authority Of India Ltd.,SAIL,4000.0,Iron & Steel,Steel & Iron Products,Mid Cap,133.05,-20.02,166416000.0,-12.21,4.58,4.8,46628000.0,24752000.0,0.53,-0.12,AggressiveLongCover,"SAIL,",35.25,2024-06-04,0.0317
Jindal Steel & Power Ltd.,JINDALSTEL,625.0,Iron & Steel,Steel/Sponge Iron/Pig Iron,Large Cap,960.15,-9.2,10196250.0,-12.13,3.58,2.98,5603750.0,3240625.0,0.58,-0.08,AggressiveLongCover,"JINDALSTEL,",44.82,2024-06-04,0.019
Biocon Ltd.,BIOCON,2500.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,290.9,-6.06,38977500.0,-11.83,2.42,2.82,9295000.0,5715000.0,0.61,-0.07,AggressiveLongCover,"BIOCON,",39.75,2024-06-04,0.0388
Dr. Lal Pathlabs Ltd.,LALPATHLAB,300.0,Healthcare,Hospital & Healthcare Services,Small Cap,2644.5,-1.11,1196700.0,11.49,1.57,1.54,154500.0,69300.0,0.45,-0.04,AggressiveNewShort,"LALPATHLAB,",42.27,2024-06-04,0.013300000000000001
Navin Fluorine International Ltd.,NAVINFLUOR,150.0,Chemicals,Chemicals,Small Cap,3048.45,-7.72,1620700.0,-10.91,2.34,2.58,465075.0,293000.0,0.63,0.06,AggressiveLongCover,"NAVINFLUOR,",41.18,2024-06-04,0.024399999999999998
Ipca Laboratories Ltd.,IPCALAB,650.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,1139.85,1.11,2560350.0,-10.33,0.77,1.05,1459900.0,1013350.0,0.69,0.09,ShortCover,"IPCALAB,",47.24,2024-06-04,0.0383
Oil & Natural Gas Corporation Ltd.,ONGC,1925.0,Crude Oil,Oil Exploration,Large Cap,236.3,-16.83,80284050.0,-10.31,4.28,4.14,71507975.0,16870700.0,0.24,-0.01,AggressiveLongCover,"ONGC,",47.69,2024-06-04,0.0388
Colgate-Palmolive (India) Ltd.,COLPAL,350.0,Fast Moving Consumer Goods,Household & Personal Products,Mid Cap,2809.75,4.56,2582650.0,-10.3,2.68,1.55,427350.0,300650.0,0.7,0.17,AggressiveShortCover,"COLPAL,",34.13,2024-06-04,0.0076
Mahanagar Gas Ltd.,MGL,400.0,Gas Transmission,Gas Transmission/Marketing,Small Cap,1262.95,-8.39,2054400.0,-10.04,1.79,1.49,1089200.0,635600.0,0.58,0.0,AggressiveLongCover,"MGL,",38.42,2024-06-04,0.023799999999999998
Escorts Kubota Ltd.,ESCORTS,275.0,Automobile & Ancillaries,Automobiles-Tractors,Mid Cap,3802.5,-2.26,1122825.0,-9.89,1.45,1.88,231275.0,191400.0,0.83,-0.1,AggressiveLongCover,"ESCORTS,",33.82,2024-06-04,0.0169
Indraprastha Gas Ltd.,IGL,1375.0,Gas Transmission,Gas Transmission/Marketing,Mid Cap,442.25,-5.69,16857500.0,-9.85,0.76,0.6,6140750.0,4648875.0,0.76,0.1,LongCover,"IGL,",48.78,2024-06-04,0.0722
Shree Cement Ltd.,SHREECEM,25.0,Construction Materials,Cement & Construction Materials,Large Cap,24882.8,-1.68,287725.0,-9.57,1.78,1.62,26175.0,15975.0,0.61,-0.01,AggressiveLongCover,"SHREECEM,",54.48,2024-06-04,0.0092
NTPC Ltd.,NTPC,1500.0,Power,Power Generation/Distribution,Large Cap,331.25,-15.45,99493500.0,-9.55,3.73,3.61,61318500.0,12246000.0,0.2,-0.18,AggressiveLongCover,"NTPC,",55.65,2024-06-04,0.019299999999999998
Metropolis Healthcare Ltd.,METROPOLIS,400.0,Healthcare,Hospital & Healthcare Services,Small Cap,1889.35,-1.69,994000.0,9.52,1.63,2.56,190000.0,138000.0,0.73,0.29,AggressiveNewShort,"METROPOLIS,",45.59,2024-06-04,0.0362
