Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
Chambal Fertilisers and Chemicals Ltd.,CHAMBLFERT,1900.0,Chemicals,Fertilizers,Small Cap,506.7,-2.89,7505000.0,-19.02,0.23,0.46,9701400.0,6279500.0,0.65,0.01,LongCover,"CHAMBLFERT,",35.99,2024-06-25,0.3896
United Breweries Ltd.,UBL,400.0,Alcohol,Breweries & Distilleries,Mid Cap,1996.0,-4.14,2609600.0,14.86,2.77,2.17,1298000.0,773600.0,0.6,-0.09,AggressiveNewShort,"UBL,",37.0,2024-06-25,0.6720999999999999
Exide Industries Ltd.,EXIDEIND,1800.0,Automobile & Ancillaries,Batteries,Mid Cap,579.65,1.01,23981400.0,14.07,7.11,3.94,26256600.0,13982400.0,0.53,-0.3,AggressiveNewLong,"EXIDEIND,",19.0,2024-06-25,0.7492
Petronet LNG Ltd.,PETRONET,3000.0,Industrials Gases & Fuels,Industrial  Gases & Fuels,Mid Cap,318.2,-1.88,49818000.0,11.88,1.8,1.74,26475000.0,13632000.0,0.51,-0.08,AggressiveNewShort,"PETRONET,",47.34,2024-06-25,0.5524
Coromandel International Ltd.,COROMANDEL,700.0,Chemicals,Fertilizers,Mid Cap,1525.35,-0.42,5319300.0,-11.82,0.3,0.45,2993900.0,1639400.0,0.55,0.01,LongCover,"COROMANDEL,",44.81,2024-06-25,0.6272
RBL Bank Ltd.,RBLBANK,2500.0,Banking,Bank - Private,Small Cap,253.72,-1.13,79137500.0,11.66,0.69,0.76,17807500.0,10302500.0,0.58,0.02,NewShort,"RBLBANK,",33.8,2024-06-25,0.5286
Hindustan Copper Ltd.,HINDCOPPER,2650.0,Non - Ferrous Metals,Metal - Non Ferrous,Small Cap,329.55,-0.74,35030350.0,11.46,2.39,1.83,14829400.0,9036500.0,0.61,-0.13,AggressiveNewShort,"HINDCOPPER,",30.64,2024-06-25,0.6261
Granules India Ltd.,GRANULES,2000.0,Healthcare,Pharmaceuticals & Drugs,Small Cap,487.8,0.04,8876000.0,-11.2,0.69,0.83,7026000.0,4858000.0,0.69,0.01,ShortCover,"GRANULES,",32.13,2024-06-25,0.3044
Syngene International Ltd.,SYNGENE,1000.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,702.15,-0.69,5297000.0,10.49,1.36,0.73,2391000.0,1395000.0,0.58,-0.14,NewShort,"SYNGENE,",30.95,2024-06-25,0.6638
Bandhan Bank Ltd.,BANDHANBNK,2500.0,Banking,Bank - Private,Mid Cap,203.45,-2.16,102191600.0,9.71,1.2,0.94,32827600.0,30328800.0,0.92,0.0,NewShort,"BANDHANBNK,",29.77,2024-06-25,0.5945
