Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
Dalmia Bharat Ltd.,DALBHARAT,250.0,Construction Materials,Cement & Construction Materials,Mid Cap,1766.1,1.78,2754425.0,2.56,0.77,0.74,1240400.0,712475.0,0.57,0.02,NewLong,"DALBHARAT,",52.67,2024-06-06,0.0287
Vodafone Idea Ltd.,IDEA,40000.0,Telecom,Telecommunication - Service  Provider,Mid Cap,15.0,1.01,3307400000.0,2.56,0.48,0.39,937040000.0,507760000.0,0.54,0.01,NewLong,"IDEA,",29.26,2024-06-06,0.14550000000000002
Divi's Laboratories Ltd.,DIVISLAB,200.0,Healthcare,Pharmaceuticals & Drugs,Large Cap,4448.9,-1.19,2561000.0,2.55,0.95,0.89,1215400.0,636000.0,0.52,-0.05,NewShort,"DIVISLAB,",50.02,2024-06-06,0.0226
Pidilite Industries Ltd.,PIDILITIND,250.0,Chemicals,Chemicals,Large Cap,3089.2,-2.43,1812250.0,2.52,0.58,0.58,452000.0,319500.0,0.71,-0.23,NewShort,"PIDILITIND,",61.45,2024-06-06,0.024
Eicher Motors Ltd.,EICHERMOT,175.0,Automobile & Ancillaries,Automobile Two & Three Wheelers,Large Cap,4719.75,3.07,3381875.0,2.38,0.93,0.89,949725.0,520100.0,0.55,-0.02,NewLong,"EICHERMOT,",49.6,2024-06-06,0.0101
Zee Entertainment Enterprises Ltd.,ZEEL,3000.0,Media & Entertainment,TV Broadcasting & Software Production,Mid Cap,153.55,4.96,132561000.0,-2.37,1.29,1.22,17097000.0,11340000.0,0.66,0.01,AggressiveShortCover,"ZEEL,",37.42,2024-06-06,0.0
Godrej Properties Ltd.,GODREJPROP,475.0,Realty,Construction - Real Estate,Mid Cap,2796.4,4.8,3454675.0,2.34,0.86,0.74,1546175.0,949725.0,0.61,0.02,NewLong,"GODREJPROP,",33.11,2024-06-06,0.0223
Sun TV Network Ltd.,SUNTV,1500.0,Media & Entertainment,TV Broadcasting & Software Production,Mid Cap,718.95,-3.92,4510500.0,2.31,2.02,4.41,3559500.0,2196000.0,0.62,0.02,AggressiveNewShort,"SUNTV,",48.95,2024-06-06,0.0642
Shree Cement Ltd.,SHREECEM,25.0,Construction Materials,Cement & Construction Materials,Large Cap,25636.25,0.61,277675.0,-2.3,0.63,0.66,31425.0,21075.0,0.67,-0.09,ShortCover,"SHREECEM,",58.7,2024-06-06,0.0095
Jubilant FoodWorks Ltd.,JUBLFOOD,1250.0,Fast Moving Consumer Goods,Consumer Food,Mid Cap,521.8,-1.66,21922500.0,2.23,0.55,0.46,6482500.0,5482500.0,0.85,-0.01,NewShort,"JUBLFOOD,",32.13,2024-06-06,0.058600000000000006
Zydus Lifesciences Ltd.,ZYDUSLIFE,900.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,1045.0,-0.35,10930500.0,2.22,0.88,0.97,2205900.0,1183500.0,0.54,0.0,NewShort,"ZYDUSLIFE,",60.78,2024-06-06,0.011899999999999999
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,125.0,Healthcare,Hospital & Healthcare Services,Large Cap,5962.0,0.46,2212375.0,2.17,0.62,0.68,1035750.0,513750.0,0.5,0.01,NewLong,"APOLLOHOSP,",55.09,2024-06-06,0.0144
IDFC Ltd.,IDFC,5000.0,Finance,Finance - NBFC,Small Cap,114.3,-0.04,90455000.0,2.15,0.91,1.17,17155000.0,13340000.0,0.78,0.0,NewShort,"IDFC,",53.73,2024-06-06,0.0285
Britannia Industries Ltd.,BRITANNIA,200.0,Fast Moving Consumer Goods,Consumer Food,Large Cap,5440.45,-0.84,2233400.0,2.12,0.93,0.68,960400.0,477600.0,0.5,-0.1,NewShort,"BRITANNIA,",39.41,2024-06-06,0.018799999999999997
Alkem Laboratories Ltd.,ALKEM,100.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,4854.6,0.61,943200.0,2.08,0.26,0.27,266200.0,105900.0,0.4,-0.03,NewLong,"ALKEM,",58.28,2024-06-06,0.0128
Polycab India Ltd.,POLYCAB,100.0,Electricals,Cable,Large Cap,6858.75,1.04,1533750.0,-2.07,0.3,0.19,621825.0,364650.0,0.59,0.03,ShortCover,"POLYCAB,",30.07,2024-06-06,0.035699999999999996
Chambal Fertilisers and Chemicals Ltd.,CHAMBLFERT,1900.0,Chemicals,Fertilizers,Small Cap,402.35,3.01,10579200.0,1.9,0.78,0.66,5228800.0,2658100.0,0.51,0.0,NewLong,"CHAMBLFERT,",31.25,2024-06-06,0.0242
Abbott India Ltd.,ABBOTINDIA,20.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,26998.8,-1.73,150140.0,1.87,0.75,0.79,15960.0,6980.0,0.44,0.07,NewShort,"ABBOTINDIA,",42.21,2024-06-06,0.0241
Ashok Leyland Ltd.,ASHOKLEY,5000.0,Automobile & Ancillaries,Automobiles-Trucks/Lcv,Mid Cap,225.7,0.69,86935000.0,-1.85,0.68,0.6,44910000.0,29290000.0,0.65,0.0,ShortCover,"ASHOKLEY,",38.49,2024-06-06,0.0381
Navin Fluorine International Ltd.,NAVINFLUOR,150.0,Chemicals,Chemicals,Small Cap,3319.15,0.56,1337000.0,-1.82,0.31,0.32,401925.0,288150.0,0.72,-0.03,ShortCover,"NAVINFLUOR,",36.58,2024-06-06,0.0277
