Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
Indus Towers Ltd.,INDUSTOWER,3400.0,Telecom,Telecommunication - Service  Provider,Mid Cap,334.0,-3.06,207352400.0,129.38,76.42,124.59,74171000.0,46342000.0,0.62,-0.01,AggressiveNewShort,"INDUSTOWER,",60.23,2024-06-19,0.5475
Chambal Fertilisers and Chemicals Ltd.,CHAMBLFERT,1900.0,Chemicals,Fertilizers,Small Cap,467.65,6.68,15528700.0,28.51,9.49,5.0,11673600.0,6748800.0,0.58,0.06,AggressiveNewLong,"CHAMBLFERT,",15.46,2024-06-19,0.12560000000000002
Coromandel International Ltd.,COROMANDEL,700.0,Chemicals,Fertilizers,Mid Cap,1573.1,2.81,5113500.0,24.11,2.22,1.39,1972600.0,1366400.0,0.69,-0.1,AggressiveNewLong,"COROMANDEL,",24.24,2024-06-19,0.30670000000000003
AU Small Finance Bank Ltd.,AUBANK,1000.0,Banking,Bank - Private,Mid Cap,656.95,-1.14,30377000.0,17.48,8.45,14.24,12335000.0,6033000.0,0.49,-0.16,AggressiveNewShort,"AUBANK,",70.56,2024-06-19,0.1532
Axis Bank Ltd.,AXISBANK,625.0,Banking,Bank - Private,Large Cap,1226.65,2.92,48461250.0,17.4,2.71,1.86,17957500.0,11985625.0,0.67,0.25,AggressiveNewLong,"AXISBANK,",39.68,2024-06-19,0.0652
Grasim Industries Ltd.,GRASIM,477.0,Construction Materials,Cement & Construction Materials,Large Cap,2447.15,-0.42,11071723.0,17.34,0.95,1.4,3705122.0,1884099.0,0.51,-0.02,NewShort,"GRASIM,",57.94,2024-06-19,0.0512
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,GNFC,1300.0,Chemicals,Fertilizers,Small Cap,696.95,-0.89,7181200.0,-16.72,3.66,3.24,3972800.0,2503800.0,0.63,0.07,AggressiveLongCover,"GNFC,",33.01,2024-06-19,0.306
Can Fin Homes Ltd.,CANFINHOME,975.0,Finance,Finance - Housing,Small Cap,866.25,-2.59,4887675.0,14.45,0.46,0.31,3950700.0,3011775.0,0.76,-0.03,NewShort,"CANFINHOME,",23.13,2024-06-19,0.1885
The Federal Bank Ltd.,FEDERALBNK,5000.0,Banking,Bank - Private,Mid Cap,174.55,-0.31,89165000.0,13.99,1.93,1.58,49415000.0,32725000.0,0.66,0.04,AggressiveNewShort,"FEDERALBNK,",29.81,2024-06-19,0.13269999999999998
IndusInd Bank Ltd.,INDUSINDBK,500.0,Banking,Bank - Private,Large Cap,1528.2,1.35,26162500.0,13.22,3.64,2.4,7912000.0,6866000.0,0.87,0.18,AggressiveNewLong,"INDUSINDBK,",34.56,2024-06-19,0.1246
Titan Company Ltd.,TITAN,175.0,Diamond & Jewellery,Diamond  &  Jewellery,Large Cap,3462.35,-3.53,8672125.0,11.98,1.06,0.82,6815025.0,3036250.0,0.45,-0.22,NewShort,"TITAN,",47.53,2024-06-19,0.1378
Balrampur Chini Mills Ltd.,BALRAMCHIN,1600.0,Agriculture,Sugar,Small Cap,440.85,2.75,11731200.0,-11.62,1.03,1.04,5696000.0,3936000.0,0.69,0.09,AggressiveShortCover,"BALRAMCHIN,",38.31,2024-06-19,0.209
Metropolis Healthcare Ltd.,METROPOLIS,400.0,Healthcare,Hospital & Healthcare Services,Small Cap,1949.35,-0.3,2210400.0,10.32,0.47,0.46,1384000.0,542800.0,0.39,0.01,NewShort,"METROPOLIS,",39.99,2024-06-19,0.2379
Ipca Laboratories Ltd.,IPCALAB,650.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,1133.4,-2.53,3391700.0,9.64,0.56,0.44,2036450.0,930150.0,0.46,-0.01,NewShort,"IPCALAB,",53.67,2024-06-19,0.1625
Gujarat Gas Ltd.,GUJGASLTD,1250.0,Gas Transmission,Gas Transmission/Marketing,Mid Cap,612.05,-3.65,10650000.0,9.06,0.59,0.67,6781250.0,4123750.0,0.61,-0.01,NewShort,"GUJGASLTD,",34.04,2024-06-19,0.2812
ICICI Bank Ltd.,ICICIBANK,700.0,Banking,Bank - Private,Large Cap,1144.45,1.92,83385400.0,8.62,2.43,1.63,31815700.0,19816300.0,0.62,0.22,AggressiveNewLong,"ICICIBANK,",38.25,2024-06-19,0.1208
Container Corporation Of India Ltd.,CONCOR,1000.0,Logistics,Logistics,Mid Cap,1103.05,-3.27,10515000.0,7.54,0.67,0.65,8606000.0,5024000.0,0.58,-0.06,NewShort,"CONCOR,",47.5,2024-06-19,0.2091
Indiamart Intermesh Ltd.,INDIAMART,300.0,Information Technology,e-Commerce,Small Cap,2593.7,1.18,1205100.0,7.29,2.45,1.09,916500.0,429900.0,0.47,-0.04,AggressiveNewLong,"INDIAMART,",19.87,2024-06-19,0.16399999999999998
