Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
Alkem Laboratories Ltd.,ALKEM,100,Healthcare,Pharmaceuticals & Drugs,Mid Cap,5218.05,2.28,1366800,26.94,5.05,2.96,434300,165200,0.38,0.04,AggressiveNewLong,"ALKEM,",35.39,2024-06-18,0.0276
Can Fin Homes Ltd.,CANFINHOME,975,Finance,Finance - Housing,Small Cap,889.25,6.51,4270500,21.13,4.89,2.04,4115475,3255525,0.79,-0.01,AggressiveNewLong,"CANFINHOME,",20.3,2024-06-18,0.18350000000000002
Grasim Industries Ltd.,GRASIM,477,Construction Materials,Cement & Construction Materials,Large Cap,2457.55,-0.55,9435735,19.58,0.58,0.82,3811475,2012610,0.53,-0.01,NewShort,"GRASIM,",50.74,2024-06-18,0.0371
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,2000,Finance,Finance - NBFC,Mid Cap,307.7,2.93,35768000,19.29,2.31,1.51,15880000,8236000,0.52,-0.15,AggressiveNewLong,"M&MFIN,",36.89,2024-06-18,0.1646
Coromandel International Ltd.,COROMANDEL,700,Chemicals,Fertilizers,Mid Cap,1530.15,1.42,4120200,18.38,1.3,1.81,1573600,1250900,0.79,0.04,AggressiveNewLong,"COROMANDEL,",48.44,2024-06-18,0.2923
United Spirits Ltd.,UNITDSPR,700,Alcohol,Breweries & Distilleries,Large Cap,1252.6,-1.29,11460400,17.45,3.42,3.82,3042900,1963500,0.65,-0.03,AggressiveNewShort,"UNITDSPR,",79.65,2024-06-18,0.06309999999999999
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,GNFC,1300,Chemicals,Fertilizers,Small Cap,703.2,2.84,8622900,16.1,2.36,2.97,5755100,3244800,0.56,-0.06,AggressiveNewLong,"GNFC,",41.52,2024-06-18,0.17579999999999998
Piramal Enterprises Ltd.,PEL,750,Finance,Finance - NBFC,Mid Cap,900.8,2.07,15474750,13.57,1.32,1.1,6125250,3957000,0.65,-0.28,AggressiveNewLong,"PEL,",34.81,2024-06-18,0.1684
Havells India Ltd.,HAVELLS,500,Capital Goods,Electric Equipment,Large Cap,1828.2,-0.61,7490000,12.67,2.48,2.93,4157500,1822000,0.44,0.0,AggressiveNewShort,"HAVELLS,",77.21,2024-06-18,0.0401
Samvardhana Motherson International Ltd.,MOTHERSON,7100,Automobile & Ancillaries,Auto Ancillary,Mid Cap,180.32,3.26,120771000,9.71,2.04,1.96,54599000,46753500,0.86,-0.1,AggressiveNewLong,"MOTHERSON,",-,2024-06-18,0.0863
Dr. Reddy's Laboratories Ltd.,DRREDDY,125,Healthcare,Pharmaceuticals & Drugs,Large Cap,5991.25,-1.54,3044875,9.01,1.3,1.32,1900625,954000,0.5,-0.06,AggressiveNewShort,"DRREDDY,",61.54,2024-06-18,0.1565
Gujarat Gas Ltd.,GUJGASLTD,1250,Gas Transmission,Gas Transmission/Marketing,Mid Cap,635.25,0.51,9765000,8.55,0.64,0.75,7171250,4411250,0.62,-0.03,NewLong,"GUJGASLTD,",35.13,2024-06-18,0.2492
Metropolis Healthcare Ltd.,METROPOLIS,400,Healthcare,Hospital & Healthcare Services,Small Cap,1955.2,-0.15,2003600,8.54,0.84,0.9,1345200,516000,0.38,-0.02,NewShort,"METROPOLIS,",42.86,2024-06-18,0.1674
City Union Bank Ltd.,CUB,5000,Banking,Bank - Private,Small Cap,157.3,3.92,27185000,8.5,3.1,1.89,15460000,8540000,0.55,-0.07,AggressiveNewLong,"CUB,",30.03,2024-06-18,0.2061
Chambal Fertilisers and Chemicals Ltd.,CHAMBLFERT,1900,Chemicals,Fertilizers,Small Cap,438.35,2.73,12084000,8.38,0.89,0.87,8664000,4529600,0.52,0.01,NewLong,"CHAMBLFERT,",27.68,2024-06-18,0.2045
Lupin Ltd.,LUPIN,425,Healthcare,Pharmaceuticals & Drugs,Mid Cap,1581.45,-1.41,7956850,8.38,1.37,1.92,5242800,2417400,0.46,-0.04,AggressiveNewShort,"LUPIN,",66.34,2024-06-18,0.1014
ABB India Ltd.,ABB,125,Capital Goods,Electric Equipment,Large Cap,8867.0,-1.7,1421375,7.4,0.93,1.16,1587000,820625,0.52,-0.16,NewShort,"ABB,",38.35,2024-06-18,0.1625
Muthoot Finance Ltd.,MUTHOOTFIN,550,Finance,Finance - NBFC,Mid Cap,1748.7,-1.2,4517700,7.16,0.39,0.32,2086150,1031250,0.49,0.02,NewShort,"MUTHOOTFIN,",47.5,2024-06-18,0.0579
Jubilant FoodWorks Ltd.,JUBLFOOD,1250,Fast Moving Consumer Goods,Consumer Food,Mid Cap,550.85,3.81,24037500,7.05,2.12,2.35,10892500,7590000,0.7,0.06,AggressiveNewLong,"JUBLFOOD,",37.17,2024-06-18,0.1757
Oracle Financial Services Software Ltd.,OFSS,100,Information Technology,IT - Software,Mid Cap,9641.85,1.38,1175200,6.84,0.76,1.3,1693100,981600,0.58,-0.1,NewLong,"OFSS,",26.9,2024-06-18,0.0978
Indus Towers Ltd.,INDUSTOWER,3400,Telecom,Telecommunication - Service  Provider,Mid Cap,344.55,1.12,90395800,6.68,2.1,1.54,36390200,22763000,0.63,0.0,AggressiveNewLong,"INDUSTOWER,",29.5,2024-06-18,0.537
HDFC Asset Management Company Ltd.,HDFCAMC,150,Finance,Finance - Asset Management,Mid Cap,3961.05,-1.33,2940750,6.44,0.63,0.71,1173900,634500,0.54,0.02,NewShort,"HDFCAMC,",42.08,2024-06-18,0.15689999999999998
Maruti Suzuki India Ltd.,MARUTI,50,Automobile & Ancillaries,Automobiles - Passenger Cars,Large Cap,12560.95,-2.21,2555300,6.12,2.8,3.37,3476750,1000100,0.29,-0.06,AggressiveNewShort,"MARUTI,",64.97,2024-06-18,0.0682
Granules India Ltd.,GRANULES,2000,Healthcare,Pharmaceuticals & Drugs,Small Cap,474.0,2.65,9586000,5.69,1.25,1.39,6692000,4722000,0.71,-0.07,AggressiveNewLong,"GRANULES,",46.89,2024-06-18,0.0723
PI Industries Ltd.,PIIND,250,Chemicals,Pesticides & Agrochemicals,Mid Cap,3660.9,0.6,1766750,5.45,0.51,0.66,852500,515500,0.6,-0.05,NewLong,"PIIND,",63.78,2024-06-18,0.1057
Indiamart Intermesh Ltd.,INDIAMART,300,Information Technology,e-Commerce,Small Cap,2563.55,-0.54,1123200,5.44,1.19,1.03,717000,363000,0.51,0.01,AggressiveNewShort,"INDIAMART,",39.08,2024-06-18,0.1344
Aditya Birla Capital Ltd.,ABCAPITAL,5400,Finance,Finance - NBFC,Mid Cap,236.06,-1.63,72419400,5.25,0.87,0.91,30844800,23241600,0.75,-0.03,NewShort,"ABCAPITAL,",36.91,2024-06-18,0.11289999999999999
RBL Bank Ltd.,RBLBANK,2500,Banking,Bank - Private,Small Cap,259.81,0.85,61572500,5.06,2.15,3.18,16912500,10090000,0.6,0.0,AggressiveNewLong,"RBLBANK,",43.66,2024-06-18,0.06860000000000001
Ipca Laboratories Ltd.,IPCALAB,650,Healthcare,Pharmaceuticals & Drugs,Mid Cap,1162.85,-1.57,3093350,4.99,0.88,0.93,2007200,947700,0.47,-0.01,NewShort,"IPCALAB,",69.32,2024-06-18,0.13720000000000002
Bharti Airtel Ltd.,BHARTIARTL,475,Telecom,Telecommunication - Service  Provider,Large Cap,1428.35,0.07,39281550,4.93,1.63,1.87,20262550,10332200,0.51,-0.02,AggressiveNewLong,"BHARTIARTL,",77.51,2024-06-18,0.0263
Bharat Heavy Electricals Ltd.,BHEL,2625,Capital Goods,Engineering - Industrial Equipments,Mid Cap,305.6,-0.03,77476875,4.8,0.87,1.07,61178250,36742125,0.6,-0.01,NewShort,"BHEL,",36.8,2024-06-18,0.1255
Dabur India Ltd.,DABUR,1250,Fast Moving Consumer Goods,Household & Personal Products,Large Cap,600.2,-1.39,21752500,4.79,0.92,1.16,17305000,8338750,0.48,-0.07,NewShort,"DABUR,",68.43,2024-06-18,0.038599999999999995
Aditya Birla Fashion and Retail Ltd.,ABFRL,2600,Retailing,Retailing,Small Cap,330.5,0.58,37850800,4.57,1.09,1.6,16832400,11312600,0.67,-0.05,AggressiveNewLong,"ABFRL,",47.18,2024-06-18,0.1472
Oberoi Realty Ltd.,OBEROIRLTY,700,Realty,Construction - Real Estate,Mid Cap,1913.05,0.28,6213200,4.57,0.94,1.06,2272900,1533000,0.67,-0.01,NewLong,"OBEROIRLTY,",60.36,2024-06-18,0.061799999999999994
IDFC Ltd.,IDFC,5000,Finance,Finance - NBFC,Small Cap,120.86,5.21,99210000,4.44,3.2,2.03,22465000,14385000,0.64,-0.03,AggressiveNewLong,"IDFC,",38.79,2024-06-18,0.1152
Jindal Steel & Power Ltd.,JINDALSTEL,625,Iron & Steel,Steel/Sponge Iron/Pig Iron,Large Cap,1034.25,-1.73,11944375,4.33,1.35,1.49,10836875,4436250,0.41,-0.06,AggressiveNewShort,"JINDALSTEL,",59.09,2024-06-18,0.2368
Laurus Labs Ltd.,LAURUSLABS,1700,Healthcare,Pharmaceuticals & Drugs,Small Cap,428.25,-1.53,18014900,4.24,0.92,0.99,7587100,3046400,0.4,0.02,NewShort,"LAURUSLABS,",46.94,2024-06-18,0.1182
Voltas Ltd.,VOLTAS,600,Consumer Durables,Air Conditioners,Mid Cap,1536.15,2.51,7439400,4.23,1.38,1.11,4330200,3057000,0.71,0.06,AggressiveNewLong,"VOLTAS,",37.06,2024-06-18,0.0678
Tata Chemicals Ltd.,TATACHEM,550,Chemicals,Chemicals,Mid Cap,1121.1,1.38,8307200,4.22,0.59,0.75,7171450,4758050,0.66,0.02,NewLong,"TATACHEM,",36.51,2024-06-18,0.17559999999999998
IDFC First Bank Ltd.,IDFCFIRSTB,7500,Banking,Bank - Private,Mid Cap,81.46,4.44,389572500,4.17,2.53,2.63,169972500,102757500,0.6,0.08,AggressiveNewLong,"IDFCFIRSTB,",39.71,2024-06-18,0.207
