Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
Polycab India Ltd.,POLYCAB,125.0,Electricals,Cable,Large Cap,6739.5,-3.57,3599500.0,87.39,14.13,14.94,1462375.0,1175125.0,0.8,0.23,AggressiveNewShort,"POLYCAB,",39.67,2024-06-28,0.0255
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,GNFC,1300.0,Chemicals,Fertilizers,Small Cap,710.5,5.68,5539300.0,79.11,2.12,2.33,3703700.0,2121600.0,0.57,-0.14,AggressiveNewLong,"GNFC,",36.01,2024-06-28,0.0373
The India Cements Ltd.,INDIACEM,2900.0,Construction Materials,Cement & Construction Materials,Small Cap,293.57,0.12,22651900.0,72.66,1.14,0.93,20572600.0,15422200.0,0.75,-0.29,NewLong,"INDIACEM,",15.08,2024-06-28,0.0888
Punjab National Bank,PNB,8000.0,Banking,Bank - Public,Large Cap,123.26,3.41,201504000.0,29.76,2.48,2.68,64176000.0,36776000.0,0.57,-0.19,AggressiveNewLong,"PNB,",49.7,2024-06-28,0.0599
Steel Authority Of India Ltd.,SAIL,4000.0,Iron & Steel,Steel & Iron Products,Mid Cap,148.65,4.04,134152000.0,24.36,1.62,1.7,30952000.0,18348000.0,0.59,0.03,AggressiveNewLong,"SAIL,",40.78,2024-06-28,0.0449
Chambal Fertilisers and Chemicals Ltd.,CHAMBLFERT,1900.0,Chemicals,Fertilizers,Small Cap,506.8,1.61,9182700.0,18.6,0.5,1.05,6237700.0,3212900.0,0.52,0.02,NewLong,"CHAMBLFERT,",49.89,2024-06-28,0.0292
JK Cement Ltd.,JKCEMENT,125.0,Construction Materials,Cement & Construction Materials,Mid Cap,4389.0,-2.64,534875.0,13.92,0.28,0.25,154625.0,92750.0,0.6,0.05,NewShort,"JKCEMENT,",42.43,2024-06-28,0.015
Indus Towers Ltd.,INDUSTOWER,3400.0,Telecom,Telecommunication - Service  Provider,Mid Cap,375.3,2.78,109218200.0,13.84,1.89,1.36,30569400.0,21661400.0,0.71,-0.17,AggressiveNewLong,"INDUSTOWER,",39.62,2024-06-28,0.0391
Coforge Ltd.,COFORGE,150.0,Information Technology,IT - Software,Mid Cap,5458.8,0.36,2373600.0,13.41,1.34,1.47,1010100.0,681900.0,0.68,0.08,AggressiveNewLong,"COFORGE,",38.43,2024-06-28,0.038
City Union Bank Ltd.,CUB,5000.0,Banking,Bank - Private,Small Cap,167.08,-0.08,24730000.0,12.38,0.74,0.8,9880000.0,5260000.0,0.53,-0.06,NewShort,"CUB,",38.97,2024-06-28,0.0594
Oracle Financial Services Software Ltd.,OFSS,100.0,Information Technology,IT - Software,Mid Cap,9882.25,0.28,1401700.0,11.19,1.95,2.22,435400.0,240700.0,0.55,0.1,AggressiveNewLong,"OFSS,",51.6,2024-06-28,0.0173
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,1800.0,Consumer Durables,Consumer Durables - Domestic Appliances,Small Cap,405.3,-2.93,21596400.0,9.3,1.63,1.84,3744000.0,1690200.0,0.45,0.1,AggressiveNewShort,"CROMPTON,",65.24,2024-06-28,0.013000000000000001
Metropolis Healthcare Ltd.,METROPOLIS,400.0,Healthcare,Hospital & Healthcare Services,Small Cap,1978.05,2.11,1199600.0,8.98,1.56,2.26,376800.0,217600.0,0.58,-0.18,AggressiveNewLong,"METROPOLIS,",38.52,2024-06-28,0.0323
MRF Ltd.,MRF,5.0,Automobile & Ancillaries,Tyres & Allied,Mid Cap,129459.15,3.39,62180.0,8.43,2.94,3.04,11590.0,5840.0,0.5,-0.35,AggressiveNewLong,"MRF,",39.27,2024-06-28,0.016200000000000003
